article_title;birth_date;death_date;death_place;religion;death_cause;honorific_prefix;birth_name;parents;spouse;children;profession;alma_mater;birth_place;summary;wikiurl;relatives;image
Cosmas Batubara;1938-09-19;2019-08-08;Jakarta;Katolik;;;;;R.A. Cypriana Hadiwijono;;Pengusaha;Universitas Indonesia;Purba Saribu, Haranggaol Horison, Simalungun, Sumatera Utara, Hindia Belanda;"Cosmas Batubara (19 September 1938 – 8 Agustus 2019) adalah seorang politikus Indonesia. Pada tahun 1963, ia adalah Ketua Presidium Pengurus Pusat Perhimpunan Mahasiswa Katolik Republik Indonesia (PMKRI) dan pendiri Kesatuan Aksi Mahasiswa Indonesia (KAMI) pada bulan Oktober 1965, dan menjadi ketuanya. Sebagai Ketua PMKRI, ia mendukung pembubaran Partai Komunis Indonesia.Ia pernah menjabat Menteri Muda Urusan Perumahan Rakyat, Menteri Negara Perumahan Rakyat dan Menteri Tenaga Kerja, ketiganya dalam masa pemerintahan presiden Soeharto. Ia menikah dengan R.A. Cypriana Hadiwijono dan dikaruniai 2 putra dan 2 putri. Ia telah memiliki sebuah otobiografi politik yang berjudul ""Cosmas Batubara: Sebuah Otobiografi Politik"" yang diterbitkan oleh Penerbit Buku Kompas di Jakarta, Maret 2007. Pada 2014, ia ditunjuk menggantikan Rhenald Kasali sebagai Rektor di Podomoro University.";https://id.wikipedia.org/wiki/Cosmas_Batubara;;Cosmas Batubara - Fourth Development Cabinet.jpg
Suharnoko Harbani;1925-03-30;2001-11-05;Jakarta, Indonesia;;;;;;Maemunah Supardi Suharnoko Harbani;"Harry Suharnoko Harbani
Andri Suharnoko Harbani
Maya Suharnoko Harbani
Hudi Suharnoko Harbani";;Sekolah Penerbang A-1;Tegalsari, Banyuwangi;Marsekal Madya TNI (Purn.) Suharnoko Harbani (30 Maret 1925 – 5 November 2001), adalah Menteri Perindustrian Indonesia pada Kabinet Dwikora II dan Kabinet Dwikora III pada masa pemerintahan Presiden Soekarno. Ia juga mantan anggota Angkatan Udara Republik Indonesia (AURI) dan pelaku sejarah dari TNI AU dalam penyerangan melalui udara diwilayah tangsi-tangsi Belanda di Kota Semarang, Salatiga dan Ambarawa pada tahun 1947. dengan pangkat terakhir Marsekal Madya TNI. Suharnoko Harbani juga pernah menjabat sebagai Duta Besar Indonesia untuk Kamboja.Saat ini nama beliau oleh TNI Angkatan Udara diabadikan menjadi nama Pangkalan Udara TNI AU di daerah Tarakan, Kalimantan Utara, dan menjadi Lanud Suharnoko Harbani.;https://id.wikipedia.org/wiki/Suharnoko_Harbani;;Suharnoko_Harbani.jpg
Abdul Hakim Harahap;1905-07-15;1961-10-07;Jakarta, Indonesia;;;;;;Mariana Lubis;;;;Sarolangun, Jambi, Hindia Belanda;Abdul Hakim Harahap (15 Juli 1905 – 7 Oktober 1961) adalah seorang pegawai negeri dan politikus Batak.;https://id.wikipedia.org/wiki/Abdul_Hakim_Harahap;;Abdul Hakim as the Deputy Prime Minister of Indonesia.jpg
Mohammad Syafa'at Mintaredja;1921-02-17;1984-10-20;Jakarta, Indonesia;;;;;;Siti Romlah;Evac S Mintaredja;;;Bogor, Jawa Barat, Hindia Belanda;H. Mohammad Syafaat Mintaredja, S.H.;https://id.wikipedia.org/wiki/Mohammad_Syafa%27at_Mintaredja;;Mohammad Syafaat Mintaredja.jpg
Kuntara;1939-09-01;2021-08-21;Jakarta;Islam;;;;;;;;Akademi Militer;Cirebon, Jawa Barat;Letnan Jenderal TNI (Purn.) H. Kuntara (1 September 1939 – 21 Agustus 2021) adalah purnawirawan Perwira Tinggi TNI Angkatan Darat dan merupakan Pangkostrad ke-18. Sebelumnya ia menjabat Pangkostrad menggantikan Letjen TNI Wismoyo Arismunandar. Kuntara sendiri sebelumnya menjabat sebagai Danjen Kopassus.;https://id.wikipedia.org/wiki/Kuntara;;Danjen Kopassus Kuntara.jpg
Rogério Lobato;1949-07-25;;;;;;;;;;;;Soibada, Manatuto, Timor Portugis;Rogério Tiago Lobato (lahir 25 Juli 1949) adalah seorang politikus Timor Leste dan mantan Menteri Dalam Negeri yang tergabung dalam Fretilin. Ia adalah anggota pendiri pemerintahan independen pertama Timor Timur, pada tahun 1975, yang dipimpin oleh Fretilin. Ia juga saudara laki-laki mendiang Nicolau Lobato, Presiden kedua negara yang terbunuh dalam aksi setelah invasi Indonesia, pada akhir tahun 1978.;https://id.wikipedia.org/wiki/Rog%C3%A9rio_Lobato;;2022-02-03 Rogerio Lobato.jpg
Abdul Haris Nasution;1918-12-03;2000-09-06;Jakarta, Indonesia;;;;;;Johanna Sunarti;"Hendrianti Saharah
Ade Irma Suryani";Tentara;;Kotanopan, Mandailing, Hindia Belanda;Jenderal Besar TNI (Purn.) Dr. (H.C.) Abdul Haris Nasution (3 Desember 1918 – 6 September 2000) adalah seorang jenderal berpangkat tinggi dan politikus Indonesia. Ia bertugas di militer selama Revolusi Nasional Indonesia dan ia tetap di militer selama gejolak berikutnya dari demokrasi Parlementer dan Demokrasi Terpimpin. Setelah jatuhnya Presiden Soekarno dari kekuasaan, ia menjadi Ketua Majelis Permusyawaratan Rakyat Sementara (MPRS) di bawah presiden Soeharto. Lahir dari keluarga Batak Mandailing, di desa Hutapungkut, ia belajar mengajar dan mendaftar di akademi militer di Bandung.;https://id.wikipedia.org/wiki/Abdul_Haris_Nasution;;Abdul Haris Nasution.jpg
Andi Sinjaya Ghalib;1981-01-25;;;Islam;;;;"Andi Muhammad Ghalib
Andi Murniati";Marcella Savitri;"Andi Azlia Sinjaya
Andi Java Sinjaya";;Akademi Kepolisian;Jakarta;AKBP. Dr. Andi Sinjaya Ghalib, S.H., S.I.K., M.H. (lahir 25 Januari 1981) adalah seorang perwira menengah Polri;https://id.wikipedia.org/wiki/Andi_Sinjaya_Ghalib;;
Ali Said;1927-06-12;1996-06-28;Jakarta, Indonesia;;;;;;;;;Sekolah Tinggi Hukum Militer AHM-PTHM;Magelang, Hindia Belanda;Letnan Jenderal TNI (Purn.) Ali Said, S.H. (12 Juni 1927 – 28 Juni 1996) adalah salah seorang tokoh militer Indonesia yang pernah menjabat sebagai Jaksa Agung periode 1973 sampai 1981, serta Ketua Mahkamah Agung.;https://id.wikipedia.org/wiki/Ali_Said;;Ali Said.png
Hario Jonosewojo;1921-06-09;1994-03-22;Jakarta;Islam;;;;Kanjeng Pangeran Adipati Soejono Handajaningrat;Roro Soerjasah Gondokoesoemo;;Tentara;;Surabaya, Jawa Timur;Mayor Jenderal TNI (Purn.) Kanjeng Raden Mas Hario Jonosewojo Handajaningrat atau K.R.M. Hario Jonosewojo Handajaningrat (9 Juni 1921 – 22 Maret 1994) adalah seorang tokoh militer Indonesia. Dan mantan Panglima Divisi VI/Narotama TRI. Ia juga seorang tokoh yang berperan dalam membantu dalam perjuangan kemerdekaan Indonesia dan perkembangan lembaga olahraga di Indonesia. Ia akrab dipanggil mas Piet. Ia merupakan lulusan pendidikan di Command General Staff College Regular Course di Fort Leavenworth Kansas, AS pada tahun 1960-1961, dimana sepulang dari pendidikan tersebut beliau dan keluarga menempati kediaman di jalan Lembang Terusan, Jakarta hingga akhir hayatnya. Sejak remaja ia sering bermain tennis. Ia sering mengikuti berbagai kejuaraan namun belum pernah juara. Ia masuk PELTI (Persatuan Lawn Tennis Indonesia) sejak serikat tennis ini didirikan pada tahun 1948. 15 tahun semenjak ia bergabung dengan PELTI, ia dipercaya menjadi ketua umum PELTI pada tahun 1963. Ia juga pernah menjadi Ajudan Senior Pejabat Presiden Djuanda dan kepala sekuriti BKR (Badan Keamanan Rakyat) Surabaya.;https://id.wikipedia.org/wiki/Hario_Jonosewojo;;
Dadang Suprayogi;1914-04-12;1998-09-13;Jakarta, Indonesia;;;;;;;;;;Bandung, Hindia Belanda;Letnan Jenderal TNI (Purn.) Dadang Suprayogi atau Suprajogi (12 April 1914 – 13 September 1998) adalah seorang perwira militer dan politikus Indonesia. Ia bertugas di Angkatan Darat Indonesia, termasuk menjadi Panglima Kodam III/Siliwangi, sebelum ia diangkat menjadi menteri oleh Sukarno pada 1958. Ia menjabat sebagai menteri produksi, dan kemudian menteri pekerjaan umum sampai 1966. Setelah itu, ia mengetuai Badan Pemeriksa Keuangan selama lima tahun sebelum memimpin organisasi-organisasi olahraga di Indonesia, termasuk mengepalai Komite Olahraga Nasional Indonesia dan mewakili Indonesia dalam Komite Olimpiade Internasional.;https://id.wikipedia.org/wiki/Dadang_Suprayogi;;Dadang Suprajogi, Riwajat hidup anggota-anggota Majelis Permusyawaratan Rakyat hasil pemilihan umum 1971, p1166.jpg
Suyono Sosrodarsono;1926-03-03;2019-08-17;Jakarta, Indonesia;Islam;;;;;Astuti Suyono Sosrodarsono;;;Institut Teknologi Bandung;Hindia Belanda Madiun, Jawa Timur, Hindia Belanda;Dr. (H.C.) Ir. Suyono Sosrodarsono (3 Maret 1926 – 17 Agustus 2019) adalah Menteri Pekerjaan Umum pada Kabinet Pembangunan IV pada masa pemerintahan Presiden Soeharto yang menjabat sejak 19 Maret 1983 sampai 21 Maret 1988.;https://id.wikipedia.org/wiki/Suyono_Sosrodarsono;;MenPU Suyono Sosrodarsono.jpg
Jacob Salatun;1927-05-27;2012-02-03;Jakarta, Indonesia;Islam;;;;;;;;;Banyumas, Jawa Tengah, Indonesia;Marsekal Muda TNI (Purn.) Jacob Salatun (29 Mei 1927 – 3 Februari 2012), adalah salah seorang tokoh dirgantara Indonesia. Salatun menjadi perencana berdirinya Lembaga Penerbangan Antariksa Nasional (LAPAN). dan menjadi Menteri Perindustrian Penerbangan pada Kabinet Dwikora III pada masa pemerintahan Presiden Soekarno.;https://id.wikipedia.org/wiki/Jacob_Salatun;;Air_Marshal_Jacob_Salatun.jpg
Mudjono;1927-07-30;1984-04-14;Jakarta, Indonesia;;;;;;;;Hakim dan Perwira Militer;;Bangsalsari, Hindia Belanda;Mudjono, S.H. (30 Juli 1927 – 14 April 1984) adalah Ketua Mahkamah Agung Indonesia yang mulai bertugas pada 18 Februari 1981 hingga 14 April 1984.;https://id.wikipedia.org/wiki/Mudjono;;Mudjono.png
Dorodjatun Kuntjoro-Jakti;1939-11-25;;;Islam;;;;;Emiwaty;;;"Universitas Indonesia
Universitas California, Berkeley";Rangkasbitung, Banten, Hindia Belanda;Prof. (Em) Drs. Dorodjatun Kuntjoro-Jakti, M.A., Ph.D. (lahir 25 November 1939) adalah Menteri Koordinator Perekonomian pada Kabinet Gotong Royong. Ia adalah lulusan tahun 1964 dari Fakultas Ekonomi, Universitas Indonesia dan meraih gelar doktor di bidang ilmu politik dari Universitas California, Berkeley, Amerika Serikat pada tahun 1980.;https://id.wikipedia.org/wiki/Dorodjatun_Kuntjoro-Jakti;;Dorodjatun Kuntjoro-Jakti, Duta Besar RI untuk Amerika Serikat (cropped).jpg
Wondoamiseno;1891-08-18;1952-12-11;Jakarta, Indonesia;Islam;;;;;;;;;Pasuruan, Keresidenan Pasuruan, Hindia Belanda;Warkhadun Wondoamiseno (18 Agustus 1891 – 11 Desember 1952) adalah seorang mantan Menteri Dalam Negeri Indonesia pada Kabinet Amir Syarifudin I.;https://id.wikipedia.org/wiki/Wondoamiseno;;Wondoamiseno.jpg
Bambang Utoyo;1920-08-20;1980-07-04;Jerman Barat Bonn;Islam;;;;;Siti Nuraini Asa'ari;;Tentara;;Tuban, Jawa Timur;Jenderal TNI (Anumerta) (Purn.) Bambang Utoyo (20 Agustus 1920 – 4 Juli 1980) adalah Kepala Staf TNI Angkatan Darat (KSAD) ke-4 yang menjabat dari tanggal 27 Juni 1955 – 28 Oktober 1955. Ia dikenal sebagai KSAD bertangan satu.Bambang muda lulus dari MULO pada tahun 1938 di Palembang dan aktif dalam organisasi pemuda Perkumpulan Indonesia Muda. Setelah Perang Dunia II usai Bambang menikah dengan Siti Nuraini Asa'ari yang juga berasal dari Palembang pada tahun 1950 dan dikaruniai 6 anak.;https://id.wikipedia.org/wiki/Bambang_Utoyo;;Djenderal Major Bambang Utoyo.png
Dave Laksono;1979-08-19;;;Islam;;;Dave Akbarshah Fikarno Laksono;;Celina Alexandra Xavier;;;"Army Navy Academy
Santa Monica College
California State University, Northridge
Universitas Indonesia
Universitas Pertahanan Indonesia";Jakarta, Indonesia;Dr. Dave Akbarshah Fikarno Laksono, B.A., M.E. (lahir 19 Agustus 1979) yang akrab disapa Dave Laksono, adalah politikus Indonesia dari Partai Golongan Karya (Golkar). Dave Laksono merupakan putra mantan Ketua Umum Partai Golkar Agung Laksono. Dave Laksono adalah anggota Dewan Perwakilan Rakyat Republik Indonesia (DPR RI) periode 2014–2019 dan 2019–2024 yang terpilih mewakili daerah pemilihan Jawa Barat VIII (Kabupaten Indramayu, Kabupaten Cirebon, dan Kota Cirebon).;https://id.wikipedia.org/wiki/Dave_Laksono;;File:KPU Dave Akbarshah Fikarno Laksono.jpg
Frans Seda;1926-10-04;2009-12-31;Jakarta, Indonesia;;;;;;Johanna Maria Pattinaja;;;"Hollandsche Burgerschool
Katolieke Economische Hogeschool";Maumere, Nusa Tenggara Timur, Hindia Belanda;Drs. Franciscus Xaverius Seda (4 Oktober 1926 – 31 Desember 2009) adalah seorang politikus, menteri, tokoh gereja, pengamat politik, dan pengusaha Indonesia.Dalam pemerintahan, posisi yang pernah diembannya antara lain adalah Menteri Perkebunan dalam Kabinet Kerja IV (1963-1964) dan Menteri Keuangan (1966-1968) sewaktu awal Orde Baru, serta Menteri Perhubungan (1968-1973) dalam Kabinet Pembangunan I.;https://id.wikipedia.org/wiki/Frans_Seda;;Indonesia Ambassador to Belgium Frans Seda.jpg
Arief Patanga;;;;;;;;;Rahmah Malewa;;;Universitas Islam Indonesia;Tojo, Tojo Una-Una, Indonesia;Arief Patanga, S.H. (lahir di Tojo, Tojo Una-Una), adalah seorang politikus asal Indonesia yang pernah menjabat sebagai Bupati Poso ke-10 sejak tahun 1989 hingga tahun 1999. Sebelum menjabat sebagai bupati, dia adalah mantan Wakil Ketua DPRD Sulawesi Tengah.Sejak pertama kali terpilih sebagai Bupati Poso pada tahun 1989, Patanga dilaporkan telah memperkaya diri pada tahun-tahun awal masa kepemimpinannya dengan menempatkan kerabat dan keluarganya di lingkup Pemda Poso. Patanga juga menerima tuduhan dari lawan politik, bahwa dia telah menyuap pihak terkait agar kemenangannya sebagai bupati untuk periode pertama dari tahun 1989 hingga 1994 berjalan lancar.Pada akhir rezim Soeharto, Patanga yang telah menjalani periode keduanya sebagai bupati, sudah tidak bisa maju untuk periode ketiga pada pemilihan tahun 1999. Akibatnya, Patanga menandatangani surat pengunduran diri pada pertengahan bulan Desember 1998, tetapi itu hanya persyaratan administratif formal, dan tidak segera berlaku. Masa jabatannya tidak berakhir sampai bulan Juni 1999, yang berarti pencarian pengganti terjadi dalam tahap yang sangat awal ketika kerusuhan Desember 1998 berlangsung.;https://id.wikipedia.org/wiki/Arief_Patanga;;
Ahmad Yani;1922-06-19;1965-10-01;Jakarta, Indonesia;Islam;;;;;Bandiah Yayu Rulia Sutowiryo;"Amelia Achmad Yani
Untung Mufreni
Irawan Sura Eddy";;"AMS
Pendidikan Calon Perwira Dinas Topografi Militer
Command and General Staf College";Jenar, Purwodadi, Purworejo, Hindia Belanda;"Jenderal TNI (Anumerta) Ahmad Yani (juga dieja A. Yani, Achmad Yani); (19 Juni 1922 – 1 Oktober 1965) adalah Menteri/Panglima Angkatan Darat (setingkat KSAD) yang merupakan salah satu Pahlawan Revolusi yang gugur sebagai korban tragedi Gerakan 30 September karena dibunuh dalam Gerakan 30 September saat penculikan dari rumahnya.";https://id.wikipedia.org/wiki/Ahmad_Yani;;Ahmad Yani.jpg
Jatidjan;1926-11-27;2008-01-12;Jakarta, Indonesia;;;;;;Soemaryo;;;;Gombong, Kebumen, Jawa Tengah, Hindia Belanda;Laksamana Madya TNI Purn. Jatidjan Sastroredjo (27 November 1926 – 12 Januari 2008) adalah seorang purnawirawan perwira tinggi TNI-AL dan Menteri Perhubungan Kabinet Dwikora III dan Menteri Maritim/Kelautan pada Kabinet Ampera I pada masa pemerintahan Presiden Soekarno.;https://id.wikipedia.org/wiki/Jatidjan;;Laksamana Muda Jatidjan - Kabinet Ampera I.jpg
Soemitro Djojohadikoesoemo;1917-05-29;2001-03-09;Jakarta, Indonesia;;;;;"Margono Djojohadikoesoemo
Siti Katoemi Wirodihardjo";Dora Marie Sigar;"Biantiningsih Miderawati Djiwandono
Marjani Ekowati Lemaistre
Prabowo Subianto
Hashim Djojohadikusumo";;"Universitas Sorbonne
Sekolah Tinggi Ekonomi Belanda";Gombong, Kebumen, Hindia Belanda;"Prof. Dr. Soemitro Djojohadikoesoemo (EYD: Sumitro Joyohadikusumo; 29 Mei 1917 – 9 Maret 2001) merupakan seorang ekonom dan politikus Indonesia. Sebagai salah satu ekonom Indonesia paling terkemuka selama masanya, Soemitro pernah menjabat sebagai Menteri Perdagangan dan Industri, Menteri Keuangan, dan Menteri Riset baik selama era Orde Lama maupun Orde Baru. Dia juga pernah menjadi Dekan Fakultas Ekonomi Universitas Indonesia dari 1951 hingga 1957.";https://id.wikipedia.org/wiki/Soemitro_Djojohadikoesoemo;;Sumitro Djojohadikusumo, Pekan Buku Indonesia 1954, p240.jpg
Rano Karno;1960-10-08;;;;;;Rano Karno;Soekarno M. Noor;"Nani Murwanti Soewanto
Dewi Indriati";;;Sekolah Tinggi Ilmu Pemerintahan Abdi Negara Jakarta;Jakarta, Indonesia;H. Rano Karno, S.I.P. (lahir 8 Oktober 1960) adalah aktor, penyanyi, politikus, dan sutradara berkebangsaan Indonesia. Saat ini, ia menjabat sebagai anggota Dewan Perwakilan Rakyat daerah pemilihan Banten III untuk masa jabatan 2019–2024. Kiprahnya di legislatif sebagai anggota DPR RI merupakan langkah pertamanya setelah menyelesaikan tugas Gubernur Banten pada 2017. Ia adalah kader dari Partai Demokrasi Indonesia Perjuangan (PDI-P) sejak awal masa Reformasi setelah sebelumnya menyertai Golongan Karya (Golkar) sewaktu menjadi anggota Majelis Permusyawaratan Rakyat Utusan Golongan. Ia adalah putra dari aktor Indonesia, Soekarno M. Noor sekaligus adik dari aktor Indonesia, Tino Karno dan kakak dari pemeran Indonesia, Suti Karno.;https://id.wikipedia.org/wiki/Rano_Karno;"Tino Karno
Suti Karno
Ismed M. Noor";Rano Karno Gubernur.jpg
Syarwan Hamid;1943-11-10;2021-03-25;Cimahi, Jawa Barat, Indonesia;;;;;;Hj. Endang Agustini, S.I.P.;;Tentara dan Politikus;Akademi Militer;Dusun Pusaka, Siak, Masa pendudukan Jepang;Letnan Jenderal TNI (Purn.) Syarwan Hamid (10 November 1943 – 25 Maret 2021) adalah salah satu tokoh militer dan politik Indonesia. Ia pernah menjadi Menteri Dalam Negeri pada Kabinet Reformasi Pembangunan dan sebelumnya menjadi Wakil Ketua MPR hasil Pemilu 1997. Ia juga dikenal sebagai tokoh gerakan Pelajar Islam Indonesia (PII) semasa mudanya dulu.;https://id.wikipedia.org/wiki/Syarwan_Hamid;;Syarwan Hamid, The DPR-RI Stance on the Reform Process and the Resignation of President Soeharto, p39.jpg
Rahardi Ramelan;1939-09-12;;;Islam;;;;;;;Politikus;;Sukabumi, Jawa Barat, Hindia Belanda;Prof. Dr. (HC) Ir. Rahardi Ramelan, M.Sc.ME. (lahir 12 September 1939), adalah Menteri Perindustrian dan Perdagangan Indonesia pada Kabinet Reformasi Pembangunan.;https://id.wikipedia.org/wiki/Rahardi_Ramelan;;Rahardi ramelan.jpg
Omar Dhani;1924-01-23;2009-07-24;Indonesia Jakarta, Indonesia;;;;;;Sri Wuryanti;;Tentara;;tepi|link=Hindia Belanda|22px Surakarta, Nagari Surakarta Hadiningrat, Hindia Belanda;Laksamana Udara TNI (Purn.) Omar Dhani (23 Januari 1924 – 24 Juli 2009) adalah Kepala Staf TNI Angkatan Udara ke-2 yang menjabat pada periode 1962 - 1965. Ia merupakan putra dari KRT Reksonegoro, Asisten Wedana Gondangwinangun, Klaten. Tahun 1956, ia mendapat tugas belajar pada Royal Air Force Staff College di Andover, Inggris.;https://id.wikipedia.org/wiki/Omar_Dhani;;Omardhani.jpg
Moerdiono;1934-08-19;2011-10-07;Singapura Singapura;Islam;;;;;"Maryati
Sundari Sukoco
Machica Mochtar
Poppy Dharsono";"Ninuk Mardiana Pambudy
Novianto Prakoso
Indrawan Budi Prasetyo
Baroto Joko Nugroho
Iqbal Ramadhan";;;Belanda Tegalsari, Banyuwangi, Jawa Timur, Hindia Belanda;Letnan Jenderal TNI (Purn.) Moerdiono (19 Agustus 1934 – 7 Oktober 2011) adalah mantan Menteri Sekretaris Negara Indonesia, menjabat selama dua periode: Kabinet Pembangunan V (1988–1993) dan Kabinet Pembangunan VI (1993–1998). Sejak awal ia meniti kariernya di sekretaris negara. Ia dikenal dekat dengan Soedharmono.;https://id.wikipedia.org/wiki/Moerdiono;;Sixth Development Cabinet Poster (Moerdiono).jpg
Soekarmen;1925-05-30;1988-09-10;Malang, Jawa Timur, Indonesia;Islam;;;;;;;;;Blitar, Jawa Timur, Hindia Belanda;Brigadir Jenderal TNI (Purn.) Soekarmen (30 Mei 1925 – 10 September 1988) adalah Gubernur Bali yang pernah memimpin selama dua periode masa jabatan, yaitu antara tahun 1967–1971 dan 1971–1978.Ia terpilih menjadi gubernur pada tanggal 1 November 1967, dan disahkan oleh SK Presiden Republik Indonesia No.203/1967 untuk menggantikan pejabat sebelumnya I Gusti Putu Martha. Sebelumnya, Soekarmen merupakan Komandan Korem 163/Wirasatya di Denpasar.;https://id.wikipedia.org/wiki/Soekarmen;;LETKOL INF SOEKARMEN.jpg
Hasjrul Harahap;1931-11-18;2014-02-08;Jakarta, Indonesia;Islam;;;;;Siti Aida Nasution;Ira Hasyda Harahap;;Institut Pertanian Bogor;Pematangsiantar, Sumatera Utara, Indonesia;Ir. Hasjrul Mustafa Kemaludin Harahap (18 November 1931 – 8 Februari 2014) adalah Menteri Kehutanan Indonesia pada periode 1988 hingga 1993 pada Kabinet Pembangunan V di bawah pemerintahan Presiden Soeharto.;https://id.wikipedia.org/wiki/Hasjrul_Harahap;;Hasjrul Harahap as the Minister of Forestry.jpg
Purwoto Gandasubrata;1929-10-11;2005-05-04;;;;;;;;;;Fakultas Hukum Universitas Indonesia;Purwokerto, Hindia Belanda;Purwoto Suhadi Gandasubrata, S.H. (11 Oktober 1929 – 4 Mei 2005) adalah Ketua Mahkamah Agung (MA) Indonesia pada tahun 1992-1994.;https://id.wikipedia.org/wiki/Purwoto_Gandasubrata;;Purwoto S. Ganda Subrata.png
Irman Gusman;1962-02-11;;;Islam;;;;"Gusman Gaus
Janimar Kamili";Liestyana Rizal Gusman;"Irviandari Alestya Gusman
Irviandra Fathan Gusman
Irvianjani Audria Gusman";;"Universitas Kristen Indonesia
University of Bridgeport";Padang Panjang, Sumatera Barat, Indonesia;H. Irman Gusman, S.E., MBA gelar Datuak Rajo Nan Labiah (lahir 11 Februari 1962) adalah seorang politikus dan pengusaha kayu asal Indonesia. Ia pernah menjabat sebagai Ketua Dewan Perwakilan Daerah Republik Indonesia (DPD-RI) sejak 2009 hingga diberhentikan pada 2016 setelah tertangkap operasi tangkap tangan oleh Komisi Pemberantasan Korupsi (KPK). Sebelumnya, ia menjabat Wakil Ketua DPD-RI periode 2004–2009.;https://id.wikipedia.org/wiki/Irman_Gusman;;KPU Irman Gusman.jpg
Ryamizard Ryacudu;1950-04-21;;;;;;;"Mayjen TNI (Purn.) Musannif Ryacudu
R.A. Zuharyah";Nora Tristyana;;;Akademi Tentara Nasional Indonesia;Palembang, Sumatera Selatan;Jenderal TNI (Purn.)  Dr. (H.C.) Ryamizard Ryacudu (lahir 21 April 1950) adalah Menteri Pertahanan Republik Indonesia pada Kabinet Kerja bentukan Presiden Joko Widodo yang mulai menjabat sejak 27 Oktober 2014 hingga 20 Oktober 2019. Mantan perwira tinggi militer TNI AD ini juga pernah menjabat sebagai Kepala Staf TNI Angkatan Darat dari tahun 2002 hingga 2005.;https://id.wikipedia.org/wiki/Ryamizard_Ryacudu;;Jenderal TNI Ryamizard Ryacudu.png
Sapardjo;1924-02-15;2001-04-10;Yogyakarta, Indonesia;;;;;;Endang Suparti;Bambang Purwanto;;;Yogyakarta, DI Yogyakarta, Hindia Belanda;Mayor Jenderal TNI Sapardjo (15 Februari 1924 – 10 April 2001) adalah Menteri Sosial pada Kabinet Pembangunan III pada masa pemerintahan Presiden Soeharto yang menjabat sejak 31 Maret 1978 sampai 19 Maret 1983.;https://id.wikipedia.org/wiki/Sapardjo;;
Sofjan Wanandi;1941-03-03;;;;;;;"Liem Gim To
Tjoa Gim Jong Nio";Riantini Wanandi;"Emmanuel Lestarto Wanandi
A Lukito Wanandi
Paulus Witarsa Wanandi";;"Universitas Indonesia
Kolese Kanisius";Belanda Sawahlunto, Sumatera Barat, Hindia Belanda;"Sofjan Wanandi (lahir 3 Maret 1941; terlahir dengan nama Liem Bian Khoen) adalah pengusaha Indonesia dan pemilik bisnis Gemala Group (sekarang Santini Group). Ia merupakan adik dari Jusuf Wanandi (Liem Bian Kie) (politisi senior dan pendiri CSIS).Sofjan turut terlibat dalam pergerakan reformasi. Ia telah memiliki banyak pengalamannya dalam bidang ekonomi, birokrasi, dan politik. Ia juga aktif di Kadin dan CSIS juga menjabat sebagai Ketua Komisi Pemulihan Ekonom dan Asosiasi Pengusaha Indonesia (Apindo; 2008–2013). Sofjan Wanandi memeluk agama Katolik.";https://id.wikipedia.org/wiki/Sofjan_Wanandi;;Sofjan Wanandi, Ketum APINDO 2003-2014.jpg
Moetojib;1940-07-11;2015-10-07;Jakarta;Islam;;;;;;;;Akademi Militer;Solo, Jawa Timur, Hindia Belanda;Letnan Jenderal TNI (Purn.) Moetojib (11 Juli 1940 – 7 Oktober 2015) adalah seorang tokoh militer Indonesia dan mantan gubernur Lemhannas. Ia berasal dari kesatuan Baret Hitam (Kavaleri) dan juga pernah menjabat Komandan Pusat Kesenjataan Kavaleri (Danpussenkav). Hingga saat ini, ia merupakan satu-satunya mantan Danpussenkav yang meraih pangkat bintang tiga (Letnan Jenderal).;https://id.wikipedia.org/wiki/Moetojib;;File:Letnan Jenderal Moetojib.jpg
Soepardjo Rustam;1926-08-12;1993-04-11;Jakarta, Indonesia;;;;;;Kardinah;;;;Sokaraja, Banyumas, Hindia Belanda;Letnan Jenderal TNI (Purn.) Soepardjo Rustam (12 Agustus 1926 – 11 April 1993) adalah Menteri Dalam Negeri Indonesia periode 1983–1988. Posisi lainnya yang pernah dijabat antara lain adalah Duta Besar RI untuk Malaysia (1972–1974) dan Gubernur Jawa Tengah (1974–1982). Prestasi ia lainnya adalah mencetuskan pendirian Museum Kereta Api di Ambarawa. Soepardjo Rustam meninggal di Jakarta tanggal 11 April 1993 dan jenazahnya dikebumikan di TMP Kalibata.;https://id.wikipedia.org/wiki/Soepardjo_Rustam;;Soepardjo Rustam, Api Perjuangan Pembebasan Irian Barat.jpg
Bandjela Paliudju;1945-03-03;;;Islam;;;;;Hj. Kamsiyah;;;Sekolah Calon Perwira Angkatan Darat;Pengawu, Tatanga, Palu, Sulawesi Tengah;Mayor Jenderal TNI (HOR) (Purn.) H. Bandjela Paliudju (lahir 3 Maret 1945) adalah Gubernur Sulawesi Tengah 2 periode yakni 1996–2001 dan 2006–2011. Ia pernah menjabat sebagai Bupati Donggala periode 1989–1994.;https://id.wikipedia.org/wiki/Bandjela_Paliudju;;Bandjela Paliudju.jpg
