article_title,honorific-prefix,name,honorific-suffix,image,smallimage,order,president,office,term_start,term_end,lieutenant,succeeding,predecessor,governor,successor,vicepresident,viceprimeminister,deputy,monarch,primeminister,taoiseach,chancellor,governor-general,order1,president1,office1,term_start1,term_end1,lieutenant1,succeeding1,predecessor1,governor1,successor1,vicepresident1,viceprimeminister1,deputy1,monarch1,primeminister1,taoiseach1,chancellor1,governor-general1,order2,office2,term_start2,term_end2,lieutenant2,succeeding2,predecessor2,president2,governor2,successor2,vicepresident2,viceprimeminister2,birthname,birth_date,birth_place,death_date,death_place,nationality,restingplace,restingplacecoordinates,party,otherparty,spouse,partner,relatives,children,parents,residence,alma_mater,occupation,allegiance,serviceyears,rank,branch,unit,battles,awards,laterwork,profession,signature,website,facebook,facebookpage,twitter,premier2,4namedata7,currentlyresides,honorific prefix,othername,relations,signature_size,order8,term_start3,term_start11,vicepresident6,primeminister6,predecessor7,term_label,office3,1namedata1,constituency1,order9,image_upright,networth,1blankname8,2,president11,2blankname7,body_discovered,military_data2,co-leader1,governor5,monuments,influences,criminal_charge,blank1,vicepresident5,education,Alma_mater,deathplace,parliamentarygroup,office5,term_end15,source,successor6,predecessor14,office6,military_blank4,alongside6,majority,constituency_MP4,notable,1blankname4,relation,alongside,vicepresident4,military_blank5,imagesi♫ze,term_start10,term_start5,placeofburial,filmfareawards,successor7,term_end11,1namedata7,termstart1,committees,portrayedby,imagesize,majority2,term_start6,module4,blank4,term_start12,resting_place_coordinates,termend1,constituency6,1,appointer2,birth_name,predecessor3,appointer,servicenumber,term_end8,order12,data5,monarch2,Commander4,president15,honorific_prefix,successor10,location,parliament3,1blankname1,deputy2,Term_start5,branch_label,order3,term_end9,president4,co-leader2,president8,predecessor15,Primeminister5,majority1,military_data1,parliamentarygroup1,parliament4,order4,successor12,succeeding4,native_name_lang,military_data3,president7,smallimage_alt,caption,predecessor6,alt,data1,commands,order5,successor11,term_end4,data4,3namedata7,1blankname6,governor3,year,alongside3,appointed,1blankname2,office14,4blankname7,term_end14,influenced,office12,predecessor11,profesion,military_data5,mother,mawards,1namedata6,battles_label,military_data4,years_active,office7,president6,constituency7,office4,date,term_start9,ambassador_from,command,predecessor9,parliamentarygroup2,2namedata7,1namedata5,successor9,term_end10,1namedata3,predecessor12,father,lieutenant8,1namedata2,prior_term,predecessor10,alongside5,term_start7,constituency8,term_end7,primeminister4,ethnicity,lieutenant3,successor13,military_blank2,family,majority3,deputy3,president9,data3,predecessor8,term_start15,deathdate,president5,death_cause,co-leader,order10,President5,native_name,religion,height,placeofburial_label,Succeeding5,office10,module2,1namedata8,citizenship,primeminister3,serviceyears_label,other_name,1blankname3,order14,president12,office11,term_end3,net_worth,governor_general,suboffice,constituency4,term_start8,resting_place,memorials,military_blank1,president3,salary,predecessor13,primeminister2,other_names,term_end13,honorific_suffix,nickname,constituency2,1namedata,successor3,blank3,criminal_penalty,3blankname7,subterm,1blankname7,placeofburial_coordinates,1blankname,blank5,constituency,constituency3,term_end6,term_end12,termstart3,module3,successor14,enteredservice,order7,primeminister5,order6,termstart2,term_start14,office9,successor4,vicepresident3,portfolio,constituency_MP3,image_size,module5,honorific suffix,successor8,lieutenant4,office8,predecessor5,term_label5,termend3,module,country,termend2,blank2,predecessor4,successor15,1blankname5,yearsactive,pronunciation,signature_alt,1namedata4,term_start13,state,term_start4,data2,office15,footnotes,rank_label,known_for,successor5,alongside2,succeeding5,succeeding3,term_end5,status,cabinet,Cicit,alongside4,military_blank3
Soekarto,,Soekarto,,File:Mayor Jenderal Soekarto.jpg,,,,Sekjen Wanhankamnas,1993,1998,,,Machmud Subarkah,,Arifin Tarigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gubernur Lemhannas,1989,1993,,,Soebijakto,,,R. Hartono,,,,1938 5 19,"Magelang, Jawa Tengah",,,,,,,,Maria Indrawati,,,,,,Akademi Militer Nasional (1960)ALUMNI - 1960 lihat bagian Kavaleri no. 1,,Indonesia,1960–1998,25px Letnan Jenderal,25px TNI Angkatan Darat,Kavaleri,Operasi Penumpasan Pemberontakan DI/TIIOperasi Wisnu Murti Trikora,,,,,,,,,,,,,,,,,1985,,,,,,Komandan Sesko ABRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soemargono Kartoprajitno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,1989,,,,,,,,,,,,,,,,,,,I Putu Sukreta Suranta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leo Lopulisa,,,,"Commander of the Bukit Barisan Regional Command Leo Lopulisa, Almanak Pemerintah Daerah Propinsi Sumatera Utara (1969), pX.jpg",,,,Panglima Komando Cadangan Strategis Angkatan Darat,4 Januari 1975,19 Januari 1978,,,Himawan Soetanto,,Wiyogo Atmodarminto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926 11 23,"Bandung, Jawa Barat",2009 9 14 1926 11 23,Jakarta,Indonesia,,,,,,,,,,,,Tentara,Kekaisaran Jepang (1943—1945) Indonesia (1945—1981)Lembaga Pemilihan Umum 1978 264,1943—1981,25px Letnan Jenderal TNI,Flag of the Indonesian Army.svg 25px TNI Angkatan Darat (1945–1981),Infanteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumantri Brodjonegoro,,,,"Koningin op de tweede dag van het staatsbezoek, Bestanddeelnr 254-9019 (Soemantri Brodjonegoro).jpg",,ke-15,Soeharto,Menteri Pendidikan dan Kebudayaan Indonesia,28 Maret 1973,18 Desember 1973,,,Mashuri Saleh,,Syarief Thayeb,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-5,Menteri Pertambangan Indonesia,17 Oktober 1967,28 Maret 1973,,,Slamet Bratanata,Soeharto,,Mohammad Sadli,,,,1926 6 3,"Semarang, Jawa Tengah, Hindia Belanda",1973 12 18 1926 6 3,"Jakarta, Indonesia",Indonesia,,,,,,,,"3, termasuk Bambang Permadi Soemantri Brodjonegoro",,,Sekolah Tinggi Teknik BandungTechnische Universiteit Delft,Akademisi,,,,,,,,,,,,,,,,,,,,,,,1964,,,,,,Rektor Universitas Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syarief Thayeb,,,,,,,,,,,,,,,,,ke-6,,,,,,,,,,,ke-1,,,,,,,,,,,,,,1 November 1959,,,,,,,,,,,,,,,,,,,,,,,,,,Presidium Institut Teknologi Bandung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,Slamet Iman Santoso(Sebagai Pejabat Rektor),,,,,,,,,,,,,,,,,,,,,,,Prof. Ir. R. O. Kosasih,,,,,,,,,,,,,,,,,Periode FT & FIPIA UI Bandung,,,,,,,,,2 Maret 1959,,,,,,,,,,,,,,,
Leonardus Benyamin Moerdani,,,,Leonardus Benjamin Moerdani as Commander of the Indonesian National Armed Forces.jpg,,ke-17,Soeharto,Daftar Menteri Pertahanan IndonesiaMenteri Pertahanan dan Keamanan,21 Maret 1988,17 Maret 1993,,,Poniman,,Edi Sudradjat,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-6,Komando Operasi Pemulihan Keamanan dan KetertibanPanglima Komando Operasi Pemulihan Keamanan dan Ketertiban,29 Maret 1983,5 September 1988,,,Soedomo,,,"Tidak ada, jabatan dihapuskan",,,,1932 10 2,"Cepu, Blora, Jawa Tengah, Hindia Belanda",2004 8 29 1932 10 2,"Jakarta, Indonesia",,,,,,Hartini Moerdani,,,Irene Ria Moerdani,,,,,Indonesia,1952–1988,25px|  Jenderal TNI,25px TNI Angkatan Darat,Infanteri (Kopassus),"Lihat pertempuran Revolusi Nasional Indonesia
 Serangan umum Maret
Pemberontakan Darul Islam
 Pemberontakan Permesta
Pemberontakan PRRI
 Operasi 17 Agustus
 Sengketa Irian Barat
Operasi Trikora
 Konfrontasi Indonesia–Malaysia
 Invasi Indonesia ke Timor Timur
Garuda Indonesia Penerbangan 206 - background:#dbdbdb text-align:center;",,,,,,,,,,,,,,,,,28 Maret 1983,,,,,,Panglima Tentara Nasional IndonesiaPanglima Angkatan Bersenjata Republik Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M. Jusuf,,289461Lembaga Pemilihan Umum 1988 753,,,,,,,,,,,,,,,ke-8,,,,,,,,,,,,,,,,,,"Foto Resmi Benyamin Moerdani, 1985",,,,,,,,,,,,,,,,,,,,,,,,Jeanne Roech,,,,,,,,,,,,,,,,,,,,,,R.G. Moerdani Sosrodirjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katolik,,,,,,,,,,,,,,,27 Februari 1988,,,,,,,,,,,,,,,,,,,Try Sutrisno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.I. Pandjaitan,,,,D. I. Pandjaitan.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925 6 9,"Natolutali, Silaen, Toba, Hindia Belanda",1965 10 1 1925 6 9,"Lubang Buaya, Jakarta, Indonesia",,,,,,Marieke br. Tambunan,,,Catherine Pandjaitan Masa Arestina Ir (Ing) Salomo Pandjaitan Letjen TNI (Purn.) Hotmangaraja Panjaitan Tuthy Kamarati Pandjaitan Riri Budiasri Pandjaitan,,,,TNI-AD,Indonesia,1945—1965,25px|  Mayor Jenderal TNI (Anumerta),25px TNI Angkatan Darat,Infanteri,,10px Pahlawan Revolusi - KPLB Anumerta,,,,,,,,,,,,,Maraden Panggabean (adik ipar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donald Izaacus Pandjaitan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dina boru Napitupulu,,,,,,,,,,,,,,,,,,,,,,Raja Herman Pandjaitan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pangkat terakhirnya adalah Brigadir Jenderal TNI, tetapi karena gugur dalam tugas, maka diberikan Kenaikan Pangkat Luar Biasa (KPLB) menjadi Mayjen. TNI (Anumerta).",,,,,,,,,,,,
Arnold Achmad Baramuli,,Arnold Achmad Baramuli,,Arnold achmad baramuli.jpg,,ke-10,Bachruddin Jusuf Habibie,Ketua Dewan Pertimbangan Agung Republik Indonesia,21 Mei 1998,20 Oktober 1999,,,Sudomo,,Achmad Tirtosudiro,,,,,,,,,,,Anggota Dewan Perwakilan Rakyat,29 Januari 1980,30 September 1997Pengganti Antar Waktu hingga 30 September 1982,,,Martono,,,,,,,,,,,ke-1,Gubernur Sulawesi Utara,23 Maret 1960,15 Juli 1962,,,Jabatan baru,Soekarno,,F. J. Tumbelaka,,,,1930 7 20,"Pinrang, Hindia Belanda",2006 10 11 1930 7 20,"Jakarta, Indonesia",Indonesia,,,Golongan Karya,,Albertina Kaunang,,,,,,,Pengusaha Politikus,,,,,,,,,Jaksa,,,,,,,,,,,Ardi Putra Baramuli (cucu),,,,,,,,,,,Sulawesi Selatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arnold Baramuli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soedarsono Hadisapoetro,,,,Soedarsono Hadisapoetro.jpg,,ke-17,Soeharto,Daftar Menteri Pertanian Republik Indonesia  Menteri Pertanian,29 Maret 1978,19 Maret 1983,,,Thoyib Hadiwidjaja,,Achmad Affandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1921 7 15,"Surakarta, Jawa Tengah, Indonesia",1988 6 10 1921 7 15,"Jakarta, Indonesia",Indonesia,,,,,Sendang Lestari,,,,,,Universitas Gadjah Mada,,,,,,,,,,,,,,,,,,,,,Ananda Syahendar Perdana (cucu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishak Mekki,Ir. H.,,M.M.,File:Ir. H. ISHAK MEKKI.jpg,,,,Anggota Dewan Perwakilan Rakyat Republik Indonesia,1 Oktober 2019,,,,,,,,,,,,,,,ke-3,Susilo Bambang Yudhoyono  Joko Widodo,Daftar Wakil Gubernur Sumatera SelatanWakil Gubernur Sumatera Selatan,7 November 2013,21 September 2018,,,Edy Yusuf,Alex Noerdin,"Lowong, selanjutnya dijabat Mawardi Yahya",,,,,,,,,ke-15,Bupati Ogan Komering Ilir,2004,2013,Engga Dewata Zainal,,Rozi Dahlan,Megawati SoekarnoputriSusilo Bambang Yudhoyono,Syahrial Oesman  Mahyuddin N.S  Alex Noerdin,Iskandar,,,,1958 3 1 y,"Kayu Agung, Sumatera Selatan",,,Indonesia,,,Partai Demokrat,,Tartila Ishak,,,,,,Universitas Sriwijaya,Politikus,,,,,,,,,,,,,,,,,,,,Yusuf Mekki (adik),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sumatera Selatan I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wongsonegoro,,Wongsonegoro,,"Wongsonegoro, Kami Perkenalkan (1954), p17.jpg",,ke-8,Soekarno,Wakil Perdana Menteri Indonesia,30 Juli 1953,23 Oktober 1954,,,Prawoto Mangkusasmito,,Djanoe Ismadi Harsono Tjokroaminoto,,,,,Ali Sastroamidjojo,,,,,Soekarno,Menteri Urusan Kesejahteraan Negara<small>(ad-interim),30 Juli 1953,23 Oktober 1954,,,Soedibjo,,Zainul Arifin (a.i.),,,,,Ali Sastroamidjojo,,,,ke-8,Menteri Pendidikan dan Kebudayaan Indonesia,27 April 1951,3 April 1952,,,Bahder Djohan,Soekarno,,Bahder Djohan,,,,1897 4 20,"Surakarta, Hindia Belanda",1978 3 4 1897 4 20,"Jakarta, Indonesia",Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 September 1950,,,,,,Menteri Kehakiman Indonesia,,,,,,,,,,,,,,,,,,,,,,,Bupati Sragen,,,,,,,,,,,,,,,,,,1939,,,,,,,,,,,,,,,,,,,,,A.G. Pringgodigdo,,,,,,,,,,,,,,,"13 Oktober 1945
Term_ end5       = 4 Agustus 1949",,ke-5,,Soekarno,,,,,,,,,ke-7,,,,,,,,,,,,ke-5,,20 Desember 1949,,,,,,,,,,,,,,,,,,,,,,,,,,Menteri Dalam Negeri Indonesia,,,,,,,,,,,,,,,,,,,,,,Mohammad Hatta,,,,,,,,,,,,,,,Zainul Arifin,,,,Kejawen,,,,,,,,Mohammad Natsir,,,,,,,27 April 1951,,,,,,,,,Soekarno,,,Sukiman Wirjosandjojo,,,,,,,Mohammad Yamin,,,,,,,,,,,,,,,,,,,,,,,Susanto Tirtoprodjo,,,,,,,,,,K. R. M. A. A. Yudonegoro,,,,,,,Soekiman Wirjosandjojo,,,,,,,,,4 Agustus 1949,,,,,,K. R. M. T. Darmonegoro,,,,1944,,,,,
Muhammad Alwi Dahlan,,,,Muhammad Alwi Dahlan.jpg,,,,,,,,,,,,,,,,,,,,ke-24,Soeharto,Menteri Penerangan Indonesia,16 Maret 1998,21 Mei 1998,,,R. Hartono,,Yunus Yosfiah,,,,,,,,,,,,,,,,,,,,,,1933 5 15,"Padang, Sumatera Barat, Hindia Belanda",2024 03 20 1933 5 15,"Jakarta, Indonesia",,,,,,Erlitahttps://ahmad.web.id/sites/apa_dan_siapa_tempo/profil/M/20030624-69-M_2.html,,,1,,,Universitas Amerika (BA)  Universitas Stanford (MA)  Universitas Illinois Urbana-Champaign (PhD),,,,,,,,,,,,,,,,,,,,,Usmar Ismail (paman),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dahlan Sjarif Datuk Djundjung,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wismoyo Arismunandar,,Wismoyo Arismunandar,,Jenderal TNI Wismoyo Arismunandar.png,,ke-17,Soeharto,Kepala Staf TNI Angkatan Darat,6 April 1993,13 Februari 1995,,,Edi Sudradjat,,R. Hartono,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-13,Wakil Kepala Staf TNI Angkatan Darat,22 Agustus 1992,24 Mei 1993,,,Adolf Sahala Rajagukguk,,,Soerjadi,,,,1940 2 10,"NLD Bondowoso, Hindia Belanda",2021 1 28 1940 2 10,"Rumah Sakit Pondok Indah, Jakarta Selatan",Indonesia,,,,,Ny. Siti Hardjanti,,,1. Krisnawati Purwaningrum 2. Tegar Arsono Yudho,,,Akademi Militer Nasional (1963),TNI,Indonesia,1963–1995,25px Jenderal TNI,25px TNI Angkatan Darat,Infanteri (Kopassus),,,,,,,,,,,,,,,"Soeharto (kakak ipar)""Ajudan-ajudan daripada Soeharto yang jadi-Pembesar Republik"" TirtoSiti Hartinah (kakak ipar)Artono ArismunandarWiranto Arismunandar (kakak)",,,9 Agustus 1990,,,,,,Panglima Komando Cadangan Strategis Angkatan Darat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soegito,,,,,,,,,,,,,,,,,ke-17,,,,,,,,,,,ke-9,,,,,,,,,,,,,,Mei 1985,,,,,,,,,,,,,,,,,,,,,,,,,,Komandan Jenderal Komando Pasukan KhususKomandan Jenderal Komando Pasukan Sandi Yudha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,29 Juli 1992,,,,,,Astana Giribangun,,,,,,,,,,,,,Kuntara,,,,,,,,,,,,,,,,,,,,,,,Sintong Panjaitan,,,,,,,,,,,,,,,,,Yogie Suardi Memet,,,,,,,,,April 1983,,,,,,,,,,,,,,,
Alirahman,,,,Alirahman.jpg,,,,,,,,,,,,,,,,,,,,ke-9,Abdurrahman Wahid,Menteri Sekretaris Negara Indonesia,26 Oktober 1999,15 Februari 2000,,,Akbar Tanjung,,Bondan Gunawan,,,,,,,,,,,,,,,,,,,,,,1945 10 10,"Menggala, Tulang Bawang, Lampung, Wilayah Kolonial Jepang",2016 1 15 1945 10 10,Jakarta,,,,,,,,,,,,Institut Pertanian Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awaloedin Djamin,,,,Portrait of Awaluddin Djamin.jpg,,,,Rektor Universitas Pancasila,1983,1995,,,,,Subroto,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-8,Kepala Kepolisian Negara Republik IndonesiaKepala Staf Angkatan Kepolisian Republik Indonesia,26 September 1978,3 Desember 1982,,,Widodo Budidarmo,Soeharto,,Anton Soedjarwo,,,,1927 9 26,"Padang, Sumatera Barat, Hindia Belanda",2019 1 31 1927 9 26,"Jakarta, Indonesia",,,,,,,,,,,,PTIK Jakarta Universitas Pittsburgh Universitas California Selatan,,,1950 - 1982,25px Jenderal Polisi,25px Kepolisian Republik Indonesia,,,,,,,,,,,,,,,,,,,1976,,,,,,Duta Besar Indonesia untuk Jerman Barat,,,,,,,,,,,,,,,,,,,,,,,Menteri Tenaga Kerja Republik Indonesia,,,,,,,,,,,,,,,,,,24 Februari 1966,,,,,,,,,200px,,,,,,,,,,,,Achmad Tirtosudiro,,,,,,,,,,,,,,,,,ke-8,,Soeharto,,,,,,,,,,,,,,,,Awaloedin Djamin saat menjadi Ketua Badan Pertimbangan Pendidikan Nasional (1998–2003),,,,,ke-11,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,Kepala Lembaga Administrasi Negara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soekarno Soeharto,,,,,,,,,,,,,,,,,,,,,1978,,,,,,,,,Soeharto,,,,,,,,,,Josef Muskita,,,,,,,,,,,,,,,,,,,,,,,Sondang P. Siagian,,,,,,,,,,Sutomo,,,,,,,Prajudi Atmosudirdjo,,,,,,,,,1970,,,,,,Mursalin Daeng Mamangung,,,,6 Juni 1968,,,,,
Sutopo Juwono,Letjen TNI (Purn.),,,"Koningin Juliana ontvangt op Huis ten Bosch de minister van Sociale Zaken van In, Bestanddeelnr 927-2777 (Sutopo Yuwono).jpg",,Ke-5,,Lembaga Ketahanan Nasional#Gubernur LemhannasGubernur Lemhannas,1978,1983,,,Sayidiman Suryohadiprojo,,Soebijakto,,,,,,,,,,,,,,,,,,,,,,,,,,,Ke-7,Badan Intelijen NegaraKepala Badan Koordinasi Intelijen Negara,21 November 1968,16 Januari 1974,,,Soedirgo,Soeharto,,Yoga Soegomo,,,,1927 5 14,"Klaten, Jawa Tengah",1999 2 19 1927 5 14,Singapura,,,,,,Ny. Sunarni Gondosaputro,,,5,,,,,Indonesia,,25px Letnan Jenderal TNI,25px TNI Angkatan Darat,Infanteri,,,,,,,,,,,,,,,,,,15 November 1965,,,,,,Kodam X/Lambung MangkuratPangdam X/Lambung Mangkurat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brigjen TNI Amir Machmud,,,,,,,,,,,,,,,,,Ke-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 Maret 1966,,,,,,,,,,,,,,,,,,,Brigadir Jenderal TNI Sabirin Mochtar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pramono Edhie Wibowo,,,,Jenderal TNI Pramono Edhie Wibowo.jpg,,ke-27,Susilo Bambang Yudhoyono,Kepala Staf TNI Angkatan Darat,30 Juni 2011,20 Mei 2013,,,George Toisutta,,Moeldoko,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-32,Panglima Komando Cadangan Strategis Angkatan Darat,30 September 2010,9 Agustus 2011,,,Burhanudin Amin,Susilo Bambang Yudhoyono,,Azmyn Yusri Nasution,,,,1955 5 5,"Magelang, Jawa Tengah",2020 6 13 1955 5 5,"Cimacan, Cipanas, Cianjur, Jawa Barat",,,,Partai Demokrat,,Kiki Gayatri Soepono,,Jenderal TNI (HOR) Susilo Bambang Yudhoyono (ipar) Ani Yudhoyono (kakak) Hartanto Edhie Wibowo (adik),2,,,AKABRI (1980) Seskoad (1995) Sesko TNI (2001),Purnawirawan Politikus,Indonesia,1980—2013,25px Jenderal TNI,25px TNI Angkatan Darat,Infanteri (Kopassus),Operasi Seroja Pemberontakan di Aceh,,,,,pramonoedhiewibowo.com,,,,,,,,,,,,Oktober 2009,,,,,,Komando Daerah Militer III/SiliwangiPanglima Komando Daerah Militer III/Siliwangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rasyid Qurnuen Aquary,,29029,,,,,,,,,,,,,,,ke-29,,Susilo Bambang Yudhoyono,,,,,,,,,ke-23,,,,,,,,,,,,,,4 Desember 2009,,,,,,,,,,,,,,,,,Sunarti Sri Hadiyah,,,,,,,,,Komandan Jenderal Komando Pasukan Khusus,,,,,,,,,,,,,Jenderal TNI (HOR) Sarwo Edhie Wibowo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 September 2010,,,,,,,,,Susilo Bambang Yudhoyono,,,,,,,,,,Moeldoko,,,,,,,,,,,,,,,,,,,,,,,Lodewijk Freidrich Paulus,,,,,,,,,,,,,,,,,Soenarko,,,,,,,,,1 Juli 2008,,,,,,,,,,,,,,,
