article_title,honorific-prefix,name,honorific-suffix,image,smallimage,order,president,office,term_start,term_end,lieutenant,succeeding,predecessor,governor,successor,vicepresident,viceprimeminister,deputy,monarch,primeminister,taoiseach,chancellor,governor-general,order1,president1,office1,term_start1,term_end1,lieutenant1,succeeding1,predecessor1,governor1,successor1,vicepresident1,viceprimeminister1,deputy1,monarch1,primeminister1,taoiseach1,chancellor1,governor-general1,order2,office2,term_start2,term_end2,lieutenant2,succeeding2,predecessor2,president2,governor2,successor2,vicepresident2,viceprimeminister2,birthname,birth_date,birth_place,death_date,death_place,nationality,restingplace,restingplacecoordinates,party,otherparty,spouse,partner,relatives,children,parents,residence,alma_mater,occupation,allegiance,serviceyears,rank,branch,unit,battles,awards,laterwork,profession,signature,website,facebook,facebookpage,twitter,premier2,4namedata7,currentlyresides,honorific prefix,othername,relations,signature_size,order8,term_start3,term_start11,vicepresident6,primeminister6,predecessor7,term_label,office3,1namedata1,constituency1,order9,image_upright,networth,1blankname8,2,president11,2blankname7,body_discovered,military_data2,co-leader1,governor5,monuments,influences,criminal_charge,blank1,vicepresident5,education,Alma_mater,deathplace,parliamentarygroup,office5,term_end15,source,successor6,predecessor14,office6,military_blank4,alongside6,majority,constituency_MP4,notable,1blankname4,relation,alongside,vicepresident4,military_blank5,imagesi♫ze,term_start10,term_start5,placeofburial,filmfareawards,successor7,term_end11,1namedata7,termstart1,committees,portrayedby,imagesize,majority2,term_start6,module4,blank4,term_start12,resting_place_coordinates,termend1,constituency6,1,appointer2,birth_name,predecessor3,appointer,servicenumber,term_end8,order12,data5,monarch2,Commander4,president15,honorific_prefix,successor10,location,parliament3,1blankname1,deputy2,Term_start5,branch_label,order3,term_end9,president4,co-leader2,president8,predecessor15,Primeminister5,majority1,military_data1,parliamentarygroup1,parliament4,order4,successor12,succeeding4,native_name_lang,military_data3,president7,smallimage_alt,caption,predecessor6,alt,data1,commands,order5,successor11,term_end4,data4,3namedata7,1blankname6,governor3,year,alongside3,appointed,1blankname2,office14,4blankname7,term_end14,influenced,office12,predecessor11,profesion,military_data5,mother,mawards,1namedata6,battles_label,military_data4,years_active,office7,president6,constituency7,office4,date,term_start9,ambassador_from,command,predecessor9,parliamentarygroup2,2namedata7,1namedata5,successor9,term_end10,1namedata3,predecessor12,father,lieutenant8,1namedata2,prior_term,predecessor10,alongside5,term_start7,constituency8,term_end7,primeminister4,ethnicity,lieutenant3,successor13,military_blank2,family,majority3,deputy3,president9,data3,predecessor8,term_start15,deathdate,president5,death_cause,co-leader,order10,President5,native_name,religion,height,placeofburial_label,Succeeding5,office10,module2,1namedata8,citizenship,primeminister3,serviceyears_label,other_name,1blankname3,order14,president12,office11,term_end3,net_worth,governor_general,suboffice,constituency4,term_start8,resting_place,memorials,military_blank1,president3,salary,predecessor13,primeminister2,other_names,term_end13,honorific_suffix,nickname,constituency2,1namedata,successor3,blank3,criminal_penalty,3blankname7,subterm,1blankname7,placeofburial_coordinates,1blankname,blank5,constituency,constituency3,term_end6,term_end12,termstart3,module3,successor14,enteredservice,order7,primeminister5,order6,termstart2,term_start14,office9,successor4,vicepresident3,portfolio,constituency_MP3,image_size,module5,honorific suffix,successor8,lieutenant4,office8,predecessor5,term_label5,termend3,module,country,termend2,blank2,predecessor4,successor15,1blankname5,yearsactive,pronunciation,signature_alt,1namedata4,term_start13,state,term_start4,data2,office15,footnotes,rank_label,known_for,successor5,alongside2,succeeding5,succeeding3,term_end5,status,cabinet,Cicit,alongside4,military_blank3,summary,wikiurl,birth_date_cleaned,death_date_cleaned
Gatot Taroenamihardja,,,,"Gatot Taroenamihardja, Jaksa Agung Indonesia.gif",,ke-1,Soekarno,Jaksa Agung Republik Indonesia,12 Agustus 1945,22 Oktober 1945,,,"Tidak ada, jabatan baru",,Kasman Singodimedjo,Mohammad Hatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901 11 24,"Sukabumi, Keresidenan Priangan, Hindia Belanda",1971 12 24 1901 11 24,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gatot Taroenamihardja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Gatot Taroenamihardja (24 November 1901 – 24 Desember 1971) adalah Jaksa Agung Republik Indonesia pertama yang menjabat pada 12 Agustus 1945—22 Oktober 1945.,https://id.wikipedia.org/wiki/Gatot_Taroenamihardja,1901-11-24,1971-12-24
Subroto,,,,Subroto.jpg,,,,Rektor Universitas Pancasila,1995,2004,,,Awaloedin Djamin,,Edie Toet Hendratno,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-7,Daftar Menteri Energi dan Sumber Daya Mineral Indonesia,29 Maret 1978,21 Maret 1988,,,Mohammad Sadli,Soeharto,,Ginandjar Kartasasmita,,,,1923 9 19,"Sewu, Jebres, Surakarta, Jawa Tengah, Hindia Belanda",2022 12 20 1923 9 19,Jakarta,Indonesia,,,,,Trisnawati,,,1. Aswin Kartiko 2. Baruno Sapto 3. Hananto Seno,,,Universitas Indonesia,Akademisi,,,,,,,,,,,,,,,,,,,,,,,11 September 1971,,,,,,Daftar Menteri Ketenagakerjaan Indonesia,,,,,,,"Menteri Tenaga Kerja, Transmigrasi, dan Koperasi Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menteri Pertambangan dan Energi Indonesia,,,M. Sarbini,,,,,,,,,,,,,,,,,"Menteri Transmigrasi dan Koperasi (11 September 1971-28 Maret 1973); Menteri Tenaga Kerja, Transmigrasi, dan Koperasi (28 Maret 1973-29 Maret 1978).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,29 Maret 1978,,,,,,,,,Soeharto,,,,,,,,,,Harun ZainRadius PrawiroBustanil Arifin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letnan Dua (Purn.) Prof. Dr. Soebroto, M.A. (19 September 1923 – 20 Desember 2022) adalah mantan Menteri Energi dan Sumber Daya Mineral Indonesia, Menteri Tenaga Kerja, Menteri Transmigrasi dan juga pernah menjabat sebagai Sekjen OPEC.",https://id.wikipedia.org/wiki/Subroto,1923-09-19,2022-12-20
Husein Mutahar,Mayor,Muhammad Husein Mutahar,,H. Mutahar.jpg,,,,Duta Besar Indonesia untuk Takhta Suci,1969,1973,,,Mohammad Nazir,,Subagio Surjaningrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916 08 05,"Samarang, Midden Java, Hindia Belanda (sekarang Semarang, Jawa Tengah, Indonesia)",2004 06 09 1916 08 05,Jakarta,Indonesia Indonesia,,,,,,,,,Salim Mutahar (ayah),,"Europeesche Lagere School
 Meer Uitgebreid Lager Onderwijs
 Algemene Middelbare School
 Universitas Gadjah Mada",Komposer diplomat,Indonesia,,25px Mayor,25px TNI Angkatan Laut,,Pertempuran Lima HariRevolusi Nasional Indonesia,25px Bintang Gerilya 25px Bintang Mahaputra Pratama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nama lain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H. Mutahar menggunakan baju Pramuka pada tahun 1998,,,H. Mutahar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taman Pemakaman Umum Jeruk PurutAmr  http://kemenpora.go.id/index/preview/berita/8936  4 Agustus 2014  Ziarah ke Makam Husein Mutahar, Pendiri Paskibraka  Website resmi Kementrian Pemuda dan Olahraga Republik Indonesia  https://archive.today/20180324180457/http://kemenpora.go.id/index/preview/berita/8936  2018-03-24  26 Maret 2018  yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suku,,,,,,,,,,,Arab-Indonesia,,,,Pendiri Paskibraka,,,,,,,,,,,"Sayyid Muhammad Husein bin Salim bin Ahmad bin Salim bin Ahmad al-Muthahar atau yang lebih dikenal dengan nama H. Mutahar (5 Agustus 1916 – 9 Juni 2004), adalah tokoh negarawan dalam masa-masa awal kemerdekaan Indonesia. Namanya paling dikenal sebagai seorang komponis musik Indonesia, terutama untuk kategori lagu nasional dan kepanduan.",https://id.wikipedia.org/wiki/Husein_Mutahar,1916-08-05,2004-06-09
Arifin Siregar,,Arifin Mohamed Siregarhttp://www.bloomberg.com/research/stocks/people/person.asp?personId=34052827&ticker=SIME:MK,,File:Duta Besar Indonesia untuk Amerika Serikat Arifin Siregar.jpg,,ke-13,Soeharto,Duta Besar Indonesia untuk Amerika Serikat,1 Oktober 1993,21 November 1997,,,Abdul Rahman Ramly,,Dorodjatun Kuntjoro-Jakti,,,,,,,,,ke-22,Soeharto,Menteri Perdagangan Indonesia,21 Maret 1988,17 Maret 1993,,,Rachmat Saleh,,Satrio Budihardjo Joedono,,,,,,,,,ke-8,Gubernur Bank Indonesia,1983,1988,,,Rachmat Saleh,Soeharto,,Adrianus Mooy,,,,1934 2 11,"Medan, Sumatra Timur, Hindia Belanda",2019 9 23 1934 2 11,"Jakarta, Indonesia",Indonesia,,,,,Adiati,,,3,,,Nederlandsche Economische HogeschoolUniversitas Münster en University of Münster,,,,,,,,,,Ekonom Politikus Diplomat,Sign Arifin M. Siregar.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arifin Mohamed Siregar atau lebih dikenal luas sebagai Arifin M. Siregar (atau hanya Arifin Siregar) (11 Februari 1934 – 23 September 2019) adalah salah satu tokoh politik dan diplomat Indonesia, mantan menteri, dan juga Gubernur Bank Indonesia.",https://id.wikipedia.org/wiki/Arifin_Siregar,1934-02-11,2019-09-23
Alexander Andries Maramis,,A. A. Maramis,,Alexander andries maramis.jpg,,Ke-2,Soekarno,Menteri Keuangan Indonesia,26 September 1945,14 November 1945,,,Samsi Sastrawidagda,,Soenarjo Kolopaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Juli 1947,29 Januari 1948,,,Sjafruddin Prawiranegara,Soekarno,,,,,,1897 6 20,"Manado, Sulawesi Utara",1977 7 31 1897 6 20,Jakarta,,,,PNI,,Elizabeth Marie Diena Veldhoedt,,,,,,"Universitas Leiden, Belanda","Pejuang Kemerdekaan,  Ekonom,  Diplomat",,,,,,,,,,,,,,,,,,,,,,,29 Januari 1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menteri Luar Negeri Indonesia,,,,,Duta Besar Indonesia untuk Filipina,,,,,,,,,,,,,19 Desember 1948,,,Zairin Zain,,,,,,,,1 Februari 1950,,,,,,,,,,,,,November 1959,,,,,,,,,,,,,,,1960,Soekarno,,Soekarno,,,,,,,,,,,,Soekarno,,,,,,,,,4 August 1949,,,,,,,,,,,,,,,,,,,,,,,Duta Besar Indonesia untuk Jerman Barat,Soekarno,,,,10 Juni 1958,,,,,,,,,,,,,,,,,1 Mei 1953,,1 Maret 1956,Mohammad Hatta,,,,,,,,Soekarno,,L.N. Palar,,,Soekarno,,,,,,,,,,,,,,Mohammad Hatta,,,,,,,19 Desember 1948,,,,,1 Oktober 1956,,,,Soekarno,,,Amir Sjarifuddin,,,,,,,Lukman Hakim,,,,,,,,,,,10 April 1953,,,,,,1,,1,,,Duta Besar Indonesia untuk Finlandia,Lukman Hakim,,,,,,,Adam Malik,,Duta Besar Indonesia untuk Uni Soviet,Agus Salim,,,,,,,Lukman Hakim,,,,,,,,,13 July 1949,,,,,,Agus Salim,,,,13 Juli 1949,,,,,,Dr. (H.C.) Mr. Alexander Andries Maramis atau lebih dikenal dengan A.A. Maramis (20 Juni 1897 – 31 Juli 1977) adalah pejuang kemerdekaan Indonesia dan pahlawan nasional. Dia pernah menjadi anggota BPUPKI dan KNIP. Ia juga pernah menjadi Menteri Keuangan Indonesia dan merupakan orang yang menandatangani Oeang Republik Indonesia pertama. Keponakan Maria Walanda Maramis ini menyelesaikan pendidikannya di bidang hukum pada tahun 1924 di Belanda.,https://id.wikipedia.org/wiki/Alexander_Andries_Maramis,1897-06-20,1977-07-31
Barlian,Kolonel TNI (Purn.) Haji,,,Barlian.jpg,,,,Panglima Kodam IV/Sriwijaya,2 Juli 1956,31 Desember 1958,,,Letkol Inf dr Ibnu Sutowo,,Letkol Inf Harun Sohar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922 07 23,"Belanda Penandingan, Tanjung Sakti, Lahat, Sumatera Selatan, Hindia Belanda",1975 09 24 1922 07 23,"Indonesia Palembang, Sumatera Selatan, Indonesia",,,,,,,,,,,,Sekolah Staf dan Komando TNI Angkatan Darat (1951–1952),,Indonesia (1945–1958),1944–1958,25px Kolonel TNI,Sumatra Giyugun   25px TNI Angkatan Darat,Infanteri,Revolusi Nasional Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kodam IV Sriwijaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kecelakaan Pesawat Terbang,,,,,,,,,,,,,,,,,,,,,,,,,,"TMP Ksatria Ksetra Siguntang, Kota Palembang, Sumatera Selatan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kolonel. Inf. (Purn). H. Barlian Bin H. Senapi Anggur (23 Juli 1922 – 24 September 1975) adalah salah satu mantan Panglima Kodam IV / Sriwijaya sekaligus pejuang kemerdekaan Indonesia.,https://id.wikipedia.org/wiki/Barlian,1922-07-23,1975-09-24
Radinal Mochtar,,,,Sixth Development Cabinet Poster (Radinal Mochtar).jpg,,Ke-19,Soeharto,Menteri Pekerjaan Umum Republik Indonesia,21 Maret 1988,16 Maret 1998,,,Suyono Sosrodarsono,,Rachmadi Bambang Sumadijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930 9 20,"Surabaya, Jawa Timur, Hindia Belanda",2000 7 26 1930 9 20,"Jakarta, Indonesia",Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menteri Pekerjaan Umum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radinal Mochtar (20 September 1930 – 26 Juli 2000) adalah Menteri Pekerjaan Umum pada Kabinet Pembangunan V dan Kabinet Pembangunan VI pada masa pemerintahan Presiden Soeharto.,https://id.wikipedia.org/wiki/Radinal_Mochtar,1930-09-20,2000-07-26
David Alex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951,Timor Portugis,1997 6 25 1951 yes,"Dili, Pendudukan Indonesia di Timor Timur",,,,,,,,,,,,,,Timor Leste Timor Leste,1975—1997,,30px Falintil,,Pendudukan Indonesia di Timor Timur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"David Alex, lebih dikenal dengan nama Daitula (1951 — 25 Juni 1997) adalah nomor 3 FALINTIL, sayap militer dari gerakan perlawanan di Timor Leste melawan pendudukan Indonesia antara tahun 1975 dan 1999 sebagai wakil kepala staf dan komandan wilayah Baucau. Melalui berbagai laporan televisi, Alex juga dikenal lintas batas negara.",https://id.wikipedia.org/wiki/David_Alex,1951,1997-06-25
Agung Laksono,Dr. (H.C.) dr. H.,,,Agung Laksono.png,,,Joko Widodo,Anggota Dewan Pertimbangan Presiden,13 Desember 2019,,,,,,,,,,,,,,,ke-15,Susilo Bambang Yudhoyono,Menteri Koordinator Bidang Kesejahteraan Rakyat Republik Indonesia,22 Oktober 2009,20 Oktober 2014,,,Aburizal Bakrie,,Puan Maharani,,,,,,,,,,Pelaksana Tugas Menteri Agama Indonesia,28 Mei 2014,9 Juni 2014,,,Suryadharma Ali,Susilo Bambang Yudhoyono,,Lukman Hakim Saifuddin,,,,1949 3 23 y,"Indonesia Semarang, Jawa Tengah",,,Indonesia,,,Partai Golongan Karya,,,,,"3, termasuk Dave",,,Universitas Kristen Indonesia,Politikus,,,,,,,,,,Tanda Tangan Agung Laksono.png,,,,,,,,,,,,,7 Desember 2012,,,,,,Pelaksana Tugas Menteri Pemuda dan Olahraga Indonesia,,,,,,Perolehan suara,,,,,,,,,,,,,,,,,Daftar Menteri Pemuda dan Olahraga IndonesiaMenteri Negara Pemuda dan Olahraga Indonesia,,,,,,,,,,,,,,,,,,26 Maret 1998,,,,,,,,,250px,,,,,,,,,,,,Andi Alfian Mallarangeng,,,1 Oktober 1999,,,,,,,,,,,,,,,,,,,,,,,,,ke-14,,,,,,,,,,,,ke-7,,1 Oktober 2009,,,,,,,,,,,,,,,,,,,,,,,Anggota Dewan Perwakilan Rakyat Republik Indonesia,,DKI Jakarta I,Ketua Dewan Perwakilan Rakyat,,,,,,,,,,,,,,,,,,,1 Oktober 2004,DKI Jakarta,1 Oktober 2009,,,,,,,,,,,,,,SoehartoB. J. Habibie,,,,,,Islam,,,,,,,,,,,,,,,15 Januari 2013,,,,,1 Oktober 1987,,,,Susilo Bambang Yudhoyono,,,,,,,,,Wiranto,Roy Suryo,,,,,Perolehan suara,,Ketua Dewan,,,,,,,,,,,,,,,,Marzuki Alie,,,,,,,,"Soetardjo Soerjogoeritno(Bidang Politik & Keamanan)Muhaimin Iskandar(Bidang Industri, Perdagangan & Pembangunan)Zaenal Maarif(Bidang Kesejahteraan Rakyat)",,Hayono Isman,,,,,,,Akbar Tanjung,,,,,,,,,1 Oktober 2004,,,,,,Juwono Sudarsono(ad-interim)Mahadi Sinambela,,,,27 September 1999,,,,,,"Dr. (H.C.) dr. H. Raden Agung Laksono (lahir 23 Maret 1949) adalah seorang politikus Indonesia yang sekarang menjabat sebagai anggota Dewan Pertimbangan Presiden sejak 13 Desember 2019. Ia juga pernah menjabat sebagai Menteri Koordinator Bidang Kesejahteraan Rakyat untuk masa jabatan 2009–2014 dan juga pernah menjabat sebagai Ketua Dewan Perwakilan Rakyat masa jabatan 2004–2009. Dalam Musyawarah Nasional Partai Golkar pada tahun 2004 dan 2009, ia terpilih sebagai Wakil Ketua Umum DPP partai. Pada Musyawarah Nasional IX Partai Golkar pada tahun 2014 di Jakarta, ia terpilih sebagai Ketua Umum DPP Partai Golkar menggantikan Aburizal Bakrie.",https://id.wikipedia.org/wiki/Agung_Laksono,1949-03-23,
Bambang Soesatyo,,,,Ketua MPR Bambang Soesatyo.jpg,,,,,,,,,,,,,,,,,,,,ke-15,Joko Widodo,Ketua Majelis Permusyawaratan Rakyat Republik Indonesia,3 Oktober 2019,,,,Zulkifli Hasan,,,Ma'ruf Amin,,,,,,,,ke-18,Ketua Dewan Perwakilan Rakyat,15 Januari 2018,30 September 2019,Fadli ZonAgus HermantoTaufik KurniawanFahri HamzahUtut Adianto,,Fadli Zon (Plt.)  Setya Novanto,Joko Widodo,,Puan Maharani,Jusuf Kalla,,,1962 09 10,"Jakarta, Indonesia",,,Indonesia,,,Partai Golongan Karya (sejak 1995),,Lenny Sri Mulyani,,,8,,,STIE Indonesia Jakarta  Universitas Terbuka  Universitas Padjadjaran,,,,,,,,,,Pengusaha  Politikus,,,,,,,,,,,Brigjen. Pol. Ruslan Aspan (besan),,,1 Oktober 2009,,,,,,Anggota Dewan Perwakilan Rakyat Republik Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potret resmi sebagai Ketua Majelis Permusyawaratan Rakyat Republik Indonesia periode 2019–2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jawa Tengah VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dr. H. Bambang Soesatyo, S.A.P., S.E., S.H., M.B.A. (lahir 10 September 1962) adalah seorang politikus dan pengusaha Indonesia yang saat ini menjadi Ketua Majelis Permusyawaratan Rakyat Republik Indonesia (MPR RI) dan sebelumnya, ia pernah menjabat sebagai Ketua Dewan Perwakilan Rakyat Republik Indonesia. Sebagai anggota Partai Golkar, ia terpilih menjadi anggota legislatif nasional pada Pemilu 2009. Pada 15 Januari 2018, Golkar memilihnya untuk menggantikan Setya Novanto, yang mengundurkan diri sebagai ketua parlemen di tengah penyelidikan korupsi.",https://id.wikipedia.org/wiki/Bambang_Soesatyo,1962-09-10,
Mas Isman,Mayor Jenderal TNI (Purn),Mas Isman,,Isman.jpg,,,,Anggota Dewan Perwakilan Rakyat,1 Oktober 1977,12 Desember 1982,,,,,Suyoto Hardjosutowo,,,,,,,,,ke-6,Soekarno,Duta Besar Indonesia untuk Mesir,September 1964,Desember 1966,,,Sanusi Hardjadinata,,Ahmad Yunus Mokoginta,,,,,,,,,ke-4,Duta Besar Indonesia untuk Thailand,1961,1964,,,Mohammad Ichsan,Soekarno,,B. M. Diah,,,,1924 1 1,"Bondowoso, Jawa Timur, Hindia Belanda",1982 12 12 1924 1 1,"Surabaya, Jawa Timur, Indonesia",,,,Golkar,,,,,Hayono IsmanHayani Isman,,,,,Indonesia,,25px Mayor Jenderal TNI,25px TNI Angkatan Darat,,Revolusi Nasional Indonesia,Pahlawan Nasional Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jawa Timur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mayor Jenderal TNI (Purn) Mas Isman (1 Januari 1924 – 12 Desember 1982) adalah seorang pejuang kemerdekaan menentang pemerintahan Hindia Belanda di Jawa Timur yang diangkat sebagai Pahlawan Nasional Indonesia oleh Presiden Joko Widodo pada tanggal 5 November 2015.Mas Isman adalah ayah dari mantan Menteri Pemuda dan Olahraga, Hayono Isman dan mantan Anggota DPR RI Hayani Isman.",https://id.wikipedia.org/wiki/Mas_Isman,1924-01-01,1982-12-12
Hasto Wardoyo,dr.,Hasto Wardoyoꦲꦱ꧀ꦠꦮꦂꦢꦪ,",Sp.OG.(K)","Hasto Wardoyo, 2016.jpg",,,,,,,,,,,,,,,,,,,,Ke-10,Joko Widodo,Kepala Badan Kependudukan dan Keluarga Berencana Nasional,1 Juli 2019,,,,Sigit Priohutomo,,,,,,,,,,,Ke-9,Bupati Kulon Progo,2011,28 Juni 2019,Sutedjo,,Toyo Santoso Dipo,Susilo Bambang YudhoyonoJoko Widodo,Hamengkubuwana X,Sutedjo,,,,26 Maret 1964,"Kulon Progo, Daerah Istimewa Yogyakarta",,,Indonesia,,,Partai Demokrasi Indonesia Perjuangan,,Dwikisworo Setyowireni,,,,,,Universitas Gadjah Mada,,,,,,,,,,Dokter,,http://www.dokterhasto.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bupati Kulon Progo, Hasto Wardoyo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dr.(HC). dr. Hasto Wardoyo, Sp.OG.(K). (lahir 30 Juli 1964) adalah bupati Kulon Progo yang menjabat pada periode 2011-2016 dan periode 2016-2019 sebelum diangkat Presiden Joko Widodo menjadi Kepala Badan Koordinasi Keluarga Berencana Nasional (BKKBN) pada 1 Juli 2019. Sebelum menjadi Bupati, Hasto Wardoyo dikenal sebagai dokter dan pengusaha bidang jasa kesehatan.",https://id.wikipedia.org/wiki/Hasto_Wardoyo,26-Maret-1964,
