title,jenis_infobox,infobox
Sejarah Indonesia (1965–1966),,
Moerdiono,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = 
|name             = {{PAGENAME}}
|image            = Sixth Development Cabinet Poster (Moerdiono).jpg
|imagesize        = 
|caption          = 
|office1          = Menteri Sekretaris Negara Indonesia
|order1           = ke-5
|president1       = [[Soeharto]]
|term_start1      = 21 Maret 1988
|term_end1        = 16 Maret 1998
|predecessor1     = [[Sudharmono]]
|successor1       = [[Saadilah Mursjid]]
|office2          = Sekretaris Kabinet Indonesia
|order2           = ke-3
|president2       = [[Soeharto]]
|term_start2      = 29 Maret 1983
|term_end2        = 23 Maret 1988
|predecessor2     = [[Hugeng Imam Santoso]]
|successor2       = [[Saadilah Mursjid]]
|birth_date       = {{Birth date|1934|8|19|mf=y}}
|birth_place      = {{negara|Belanda}} [[Banyuwangi]], [[Jawa Timur]], [[Hindia Belanda]]
|death_date       = {{Death date and age|2011|10|7|1934|8|19|mf=y}}
|death_place      = {{negara|Singapura}} [[Singapura]]
|party            = [[Partai Golongan Karya|Golkar]] (hingga 2008)<br>[[Gerindra]] (setelah 2008)<ref>{{Cite news|date=16 Oktober 2008 |title=Moerdiono Keluar Golkar Pindah ke Gerindra|url=https://regional.kompas.com/read/2008/10/16/20135359/moerdiono.keluar.golkar.pindah.ke.gerindra|work=[[Kompas.com]]|location=[[Jakarta]]|access-date=12 Agustus 2021}}</ref>
|spouse           = Maryati {{br}} [[Sundari Sukoco]] {{br}} [[Machica Mochtar]] {{br}} [[Poppy Dharsono]]
|children         = '''Pernikahan dengan Maryati:''' {{br}} [[Mardiana Estilistiati|Ninuk Mardiana Pambudy]] {{br}} Novianto Prakoso (alm) {{br}} Indrawan Budi Prasetyo {{br}} Baroto Joko Nugroho (alm) {{br}} '''Pernikahan siri dengan [[Machica Mochtar]]:''' {{br}} Iqbal Ramadhan
|residence        = 
|alma_mater       = 
|occupation       = 
|religion         = [[Islam]]
|signature        = Sign Moerdiono.png
|allegiance       = [[Indonesia]]
|serviceyears     = 1965—1975
|rank             = [[Berkas:Pdu letjendtni staf.png|25px]] [[Letnan Jenderal]] [[TNI]]
|branch           = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
}}"
Bencana alam di Indonesia,,
Pembicaraan Templat:Bencana di Indonesia tahun 1970-an,,
Nasrudin Sumintapura,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = 
|name             = Nasrudin Sumintapura
|image            = Nasrudin Sumintapura - Fifth Development Cabinet.jpg
|imagesize        = 200px
|caption          = 
|office           = Daftar Wakil Menteri Keuangan Indonesia {{!}} Menteri Muda Keuangan
|order            = Ke-5
|president        = [[Soeharto]]
|term_start       = 23 Maret 1988
|term_end         = 11 Maret 1993
|predecessor      = [[Notohamiprodjo]]
|successor        = [[Anny Ratnawati]]
|birth_date       = {{birth date|1938|8|1}}
|birth_place      = [[Jakarta]], [[DKI Jakarta]], [[Hindia Belanda]] 
|death_date       = {{death date and age|2011|5|5|1938|8|1}}
|death_place      = [[Jakarta]], [[DKI Jakarta]], [[Indonesia]] 
|nationality      = [[Indonesia]]
|party            = 
|spouse           = 
|children         = 
|residence        = 
|alma_mater       = [[Universitas Indonesia]]
|occupation       = 
|religion         = [[Islam]]
}}"
Ipik Asmasoebrata,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = H.
|name          = Ipik Asmasoebrata
|image         = 
|alt           = 
|caption       = 
|office        = Anggota [[Dewan Perwakilan Rakyat Republik Indonesia]]
|term_start    = 1 Oktober 1982
|term_end      = 1 Oktober 1992
|constituency  = [[Daerah Khusus Ibukota Jakarta]]
|predecessor   = <!-- kalau menggantikan di tengah jabatan -->
|successor     = <!-- kalau digantikan di tengah jabatan -->
|office2       = Anggota [[Majelis Permusyawaratan Rakyat]]
|order2        = 
|term_start2   = 1980
|term_end2     = Oktober 1982
|constituency2 = [[Daerah Khusus Ibukota Jakarta]]
|predecessor2  = [[Soewondo (dokter)|dr.H.R. Soewondo]]
|successor2    = ''Tidak diketahui''
|birth_name    = 
|birth_date    = {{Birth date|1922|06|16|}}
|birth_place   = {{flagicon| Hindia Belanda}} [[Tanjungsari]], [[Sumedang]], [[Jawa Barat]]
|death_date    = {{death date and age|2003|08|28|1922|06|16}}
|death_place   = {{flagicon| Indonesia}} [[Jakarta]],[[Indonesia]]
|resting_place = [[Tanjungsari, Sumedang]] 
|nationality   = {{flagicon| Indonesia}}  [[Indonesia]]
|other_names   = 
|known_for     = Anggota [[DPR RI]] <br/> Pejuang Angkatan '45 <br/> Ketua KONI <br/> Pengurus Pordasi <br/> Pemilik Pabrik Rokok Nasional  [[Tanjungsari, Sumedang|Tanjungsari]] <br/> Perintis Pacuan Kuda  [[Tanjungsari,Sumedang|Tanjungsari]] 
|religion      = [[Islam]]
|children      = [[Dadang Suryadi]] <br> [[Alex Asmasoebrata]] <br> [[Ferry Asmasoebrata]] <br> [[Neneng Amalia Dendawacana]]
|spouse        = 
|relatives     = [[Ramon Papana]] <br> [[Dylan Sada]] (cucu) <br> [[Alexandra Asmasoebrata]] (cucu)
|party         = [[Partai Nasional Indonesia]]<br>[[Partai Demokrasi Indonesia]] 
|occupation    = [[Pengusaha]] <br/> [[Politikus]]
}}"
Kepresidenan Sementara Soeharto,,
Tragedi Jambo Keupok,,
Gempa bumi Sulawesi 1969,infobox earthquake,"{{Infobox earthquake
 | name        = Gempa bumi Sulawesi 1969
 | image       = <!-- file name only -->
 | alt         = 
 | caption     = 
 | map         = <!-- file name only -->
 | map_alt     = 
 | map_caption =
 | pushpin_map = <!-- as per Template:Location map -->
 | map2        = {{Location map| Indonesia_Sulawesi#Indonesia
 | relief = yes
 | lat = -3.201
 | long = 118.904
 | mark = Bullseye1.png
 | marksize = 40
 | position = top
 | width = 250
 | caption =}}
 | pre-1900    = <!-- Set to 'yes' if before 1900-01-01. Relaxes timestamp format -->
 | timestamp   = 1969-02-23 00:36:58 
 | isc-event   = 812497
 | anss-url    = iscgem812497
 | local-date  = {{Start date|1969|02|23}}
 | local-time  = 08:56 [[WITA]]
 | duration    =
 | magnitude   = 7.0 [[Skala kekuatan Moment|M<sub>w</sub>]]
 | depth       = {{convert|15|km|mi|0|abbr=on}}
 | location    = {{coord|-3.201|118.904|region:XX_type:event|display=inline,title}}
 | affected    = [[Sulawesi Barat]], Indonesia 
 | damages     = <!-- cost/extent of property damage -->
 | intensity   = {{MMI|VIII}}
 | pga         = <!-- NN ''[[Peak ground acceleration|g]]'' -->
 | pgv         = <!-- NN cm/s -->
 | tsunami     = Ya, {{cvt|12|m|ft}}
 | landslide   =
 | foreshocks  =
 | aftershocks =
 | casualties  = 664
 | engvar      = <!-- follow article: =en-UK will show 'Epicentre' -->
 | citations    =
}}"
Indonesia Terbuka 1997,,
Toyib Hadiwijaya,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix= Prof. Dr. Ir. H.
|name               = {{PAGENAME}}
|native_name        = ᮒ᮪ᮠᮧᮚᮤᮘ᮪ ᮠᮓᮤᮝᮤᮓ᮪ᮏᮏ
|image              = Indonesia Ambassador to Belgium Tojib Hadiwidjaja.jpg
|imagesize          =
|caption            = Potret sebagai Duta Besar Indonesia untuk Belgia (1964)
|office             = Menteri Pertanian Indonesia
|order              = ke-16
|term_start         = 6 Juni 1968
|term_end           = 29 Maret 1978
|succeeding         = 
|president          = [[Soeharto]]
|predecessor        = [[Sutjipto]]
|successor          = [[Soedarsono Hadisapoetro]]
|office1             = [[Bekas Jabatan Politik di Indonesia#Menteri Departemen|Menteri Perkebunan Indonesia]] ke-3
|term_start1         = 14 Oktober 1967
|term_end1           = 6 Juni 1968
|succeeding1         = 
|president1          = [[Soeharto]]
|predecessor1        = [[Sutjipto]]
|successor1          = ''Tidak Ada''
|office2             = Duta Besar Indonesia untuk Belgia
|order2              = ke-5
|term_start2         = 1964
|term_end2           = 1966
|succeeding2         = 
|president2          = [[Soekarno]]
|predecessor2        = [[Laili Roesad]]
|successor2          = Aboeprajitno
|office3             = Menteri Perguruan Tinggi dan Ilmu Pengetahuan Indonesia
|order3              = ke-2
|term_start3         = 6 Maret 1962
|term_end3           = 27 Agustus 1964
|succeeding3         = 
|president3          = [[Soekarno]]
|predecessor3        = [[Iwa Kusumasumantri]]
|successor3          = [[Syarief Thayeb]]
|birth_date         = {{Birth date|1919|5|12}}
|birth_place        = [[Sukahurip, Cihaurbeuti, Ciamis]], [[Jawa Barat]], [[Indonesia]]
|death_date         = {{Death date and age|2002|12|12|1919|5|12}}
|death_place        = [[Bogor]], [[Jawa Barat]], [[Indonesia]]
|nationality        = [[Indonesia]]
|party              = [[Independen]]
|spouse             = 
|relations          = 
|children           = 
|alma_mater         = [[Institut Pertanian Bogor]]{{br}}[[Universitas Indonesia]]
|occupation         = Pakar Pertanian
|profession         = {{ubl|[[Diplomat]]|[[Politikus]]}}
|religion           = [[Islam]]
|signature          = 
|website            = 
|footnotes          = 
}}"
Soekarmen,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = 
|name             = {{PAGENAME}}
|image            = LETKOL INF SOEKARMEN.jpg
|imagesize        = 
|caption          = 
|order            = Ke-4
|office           = Gubernur Bali
|term_start       = 1967
|term_end         = 1978
|predecessor      = [[I Gusti Putu Martha]]
|successor        = [[Ida Bagus Mantra]]
|birth_date       = {{Birth date|1925|5|30}}
|birth_place      = [[Blitar]], [[Jawa Timur]], [[Hindia Belanda]]
|death_date       = {{Death date and age|1988|9|10|1925|5|30}} 
|death_place      = [[Malang]], [[Jawa Timur]], [[Indonesia]]
|nationality      = [[Indonesia]]
|allegiance       = [[Indonesia]]
|serviceyears     = 
|rank             = [[Berkas:Pdu_brigjendtni_staf.png|25px]] [[Brigadir Jenderal]] [[TNI]]
|branch           = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
|unit             = [[Infanteri]]
|awards           = 
|battles          =
|party            = 
|relations        = 
|spouse           = 
|children         = 
|alma_mater       = 
|occupation       = 
|religion         = [[Islam]]
}}"
Ismail Saleh,infobox officeholder,"{{Infobox Officeholder
|name               = {{PAGENAME}}
|image              = Ismail Saleh.jpg
|imagesize          =
|caption            = 
|office             = Menteri Kehakiman Indonesia
|order              = ke-19
|term_start         = 30 Mei 1984
|term_end           = 17 Maret 1993
|succeeding         = 
|president          = [[Soeharto]] 
|predecessor        = [[Ali Said]]
|successor          = [[Oetojo Oesman]]
|office2             = Jaksa Agung Republik Indonesia
|order2              = ke-10
|term_start2         = 18 Februari 1981 
|term_end2           = 30 Mei 1984
|succeeding2         = 
|president2          = [[Soeharto]] 
|predecessor2        = [[Ali Said]]
|successor2          = [[Hari Suharto]]
|birth_date         = {{Birth date|1926|9|7}}
|birth_place        =  [[Sukolilo]], [[Pati]], [[Jawa Tengah]], [[Hindia Belanda]]
|death_date         = {{Death date and age|2008|10|21|1926|9|7|mf=y}}
|death_place        = [[Jakarta]], [[Indonesia]]
|nationality        = [[Indonesia]]
|party              = 
|spouse             = 
|relations          = 
|children           = 
|allegiance         = {{flag|Indonesia}}
|rank             = [[Berkas:Pdu letjendtni staf.png|25px]] [[Letnan Jenderal]] [[TNI]]
|branch           = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
|unit               =
|alma_mater         = 
|occupation         = 
|profession         = 
|religion           = [[Islam]]
|signature          = 
|website            = 
|footnotes          = 
}}"
Indonesia dalam tahun 1998,,
Indonesia International Song Festival 1995,infobox song contest,"{{Infobox Song Contest
| name       = Indonesia International Song Festival
| year       = 1995
| logo       = IISF 1995 logo.png 
| size       = 180px
| final      = 4–8 Agustus 1995<ref>{{cite web|url=http://pactoconvex.com/1995-events/|title=1995 EVENTS |website=Pacto Convex |language=en |accessdate=30 Juni 2019}}</ref>
| presenters = [[Bob Tutupoly]]<br>[[Shafira Prakasa]]<br>[[Tia Maryadi]]
| exsupervisor = [[Chris Pattikawa]]
| exproducer = Errki Pohjanheimo
| conductor  = [[Erwin Gutawa]]
| director   = 
| host       = [[Televisi Republik Indonesia]] (TVRI) dan [[Televisi Pendidikan Indonesia]] (TPI)
| venue      = [[Jakarta Convention Center]]<br>[[Jakarta]], [[Indonesia]]
| winner     = {{flag|Indonesia}}<br />""We Are One""
| vote       = 
| entries    = 15
| debut      = {{flag|Amerika Serikat}}<br />{{flag|Belanda}}<br />{{flag|Britania Raya}}<br />{{flag|Chili}}<br />{{flag|Estonia}}<br />{{flag|Filipina}}<br />{{flag|Indonesia}}<br />{{flag|Rumania}}<br />{{flag|Swedia}}
| return     = 
| withdraw   =
| null       = 
| interval   = Penampilan video memperingati 50 tahun Kemerdekaan Republik Indonesia.
| opening    = 
<!-- Map Legend Colours -->
| Green    = Y 
| Green SA = 
| Purple   = 
| Red      = 
| Yellow   = Y
}}"
Sutami,infobox officeholder,"{{Infobox Officeholder
|name               = Sutami
|image              = Sutami 2003 Indonesia stamp.jpg
|imagesize          =260px
|caption            = 
|office             = [[Daftar Menteri Pekerjaan Umum dan Perumahan Rakyat Indonesia|Menteri Pekerjaan Umum Indonesia]] ke-16
|order              = 
|term_start         = 22 Februari 1966
|term_end           = 17 Oktober 1967
|president          = [[Soekarno]]
|predecessor        = [[Soeprajogi]]
|term_start2        = 17 Oktober 1967
|term_end2          = 29 Maret 1978
|president2         = [[Soeharto]]
|successor2         = [[Purnomosidi Hadjisarosa]] 
|birth_date         = {{birth date|1928|10|19}}
|birth_place        =  [[Surakarta]], [[Jawa Tengah]], [[Hindia Belanda]]
|death_date         = {{death date and age|1980|11|13|1928|10|19}}
|death_place        = [[Jakarta]], [[Indonesia]]
|nationality        = [[Indonesia]]
|party              = 
|spouse             = 
|relations          = 
|children           = 
|alma_mater         = 
|occupation         = 
|profession         = 
|religion           = 
|signature          = 
|website            = 
|footnotes          = 
}}"
Kerusuhan Mei 1998,infobox civil conflict,"{{Infobox civil conflict
| title = Kerusuhan Mei 1998
| partof = [[Kejatuhan Soeharto]], [[Krisis finansial Asia 1997]] dan [[Diskriminasi terhadap Tionghoa-Indonesia|Sentimen anti-Tionghoa di Indonesia]]
| image = [[File:Jakarta riot 14 May 1998.jpg|300px|alt=A man wearing a buttoned shirt, pants, and flip-flops throws an office chair into a burning pile of other chairs in the middle of a city street. Behind him, several dozen people gather in front of a building with broken windows.]]
| caption = Para perusuh membakar perabot kantor di jalanan Jakarta pada 14 Mei 1998
| date = 4–8 dan 12–15 Mei 1998
| place = Kerusuhan besar terjadi di [[Medan]], [[Jakarta]], dan [[Surakarta]] dengan sejumlah insiden terpisah di tempat lain
| coordinates = 
| causes = * Ketidakpuasan atas pemerintahan [[Orde Baru (Indonesia)|Orde Baru]]
* Dugaan [[Kecurangan pemilihan umum|kecurangan suara]] dalam [[Pemilihan umum legislatif Indonesia 1997|pemilu legislatif 1997]]
* Keruntuhan ekonomi sebagai akibat dari [[Krisis finansial Asia 1997|krisis keuangan Asia]]
* [[Otoritarianisme]]
| result = * [[Kejatuhan Soeharto|Pengunduran diri]] Presiden [[Soeharto]] dan pembentukan [[Kabinet Reformasi Pembangunan]] baru di bawah [[B.J. Habibie]]
* Kemerdekaan [[Timor-Leste]]
* Awal [[Reformasi (Indonesia)|Era Reformasi]]
| methods =  * [[Kerusuhan]]
* [[Pembangkangan sipil]]
* [[Penjarahan]]
* [[Pembakaran disengaja]]
| side1 = {{flagicon|Indonesia}} [[Pemerintah Indonesia]]
*[[Tentara Nasional Indonesia]]
**[[Kodam Jayakarta]]
*[[Kepolisian Negara Republik Indonesia]]
**[[Korps Brigade Mobil]]
*[[Badan Intelijen Negara|Badan Intelijen Negara Indonesia]]
* Warga lokal
| side2 = [[Pribumi|warga sipil Indonesia]] yang terdiri dari [[Megawati Soekarnoputri]] pendukung dan pengunjuk rasa anti-pemerintah
| side3 = [[Orang Tionghoa Indonesia|Tionghoa]] warga sipil termasuk beberapa pendukung anti-Megawati dan anti-Soeharto
| casualties3 = <!-- Temporarily left blank until article is complete -->
| casualties_label =
}}"
Boediardjo,infobox officeholder,"{{Infobox Officeholder
| honorific-prefix  = 
| name              = {{PAGENAME}}
| image             = Het koninklijk paar tijdens een dienst in de Willemskerk in Jakarta, Bestanddeelnr 254-9022 (Boediardjo).jpg
| imagesize         = 
| caption           = 
| office            = [[Duta Besar Indonesia untuk Spanyol]]
| term_start        = 1976
| term_end          = 1979
| president         = [[Soeharto]]
| predecessor       = ''Tidak ada, posisi baru''
| successor         = Soerodjo Sarni
| office1           = Menteri Penerangan Indonesia
| order1            = ke-19
| term_start1       = 6 Juni 1968
| term_end1         = 28 Maret 1973
| president1        = Soeharto
| predecessor1      = [[B. M. Diah]]
| successor1        = [[Mashuri Saleh]]
| office2           = [[Duta Besar Indonesia untuk Kamboja]]
| term_start2       = 1965
| term_end2         = 1968
| president3        = [[Soekarno]]<br/>Soeharto
| predecessor2      = Abdul Karim Rasyid
| successor2        = [[Suharnoko Harbani]]
| birth_date        = {{birth date|1921|11|16}}
| birth_place       = [[Kota Magelang|Magelang]], [[Jawa Tengah]], [[Hindia Belanda]]
| death_date        = {{death date and age|1997|3|15|1921|11|16}}
| death_place       = [[Daerah Khusus Ibukota Jakarta|Jakarta]], Indonesia
| party             = 
|rank             = [[Berkas:Pdu marsdyatni staf.png|25px]] [[Marsekal madya|Marsekal Madya]] [[Tentara Nasional Indonesia|TNI]]
|branch           = [[Berkas:Insignia of the Indonesian Air Force.svg|25px]] [[Tentara Nasional Indonesia Angkatan Udara|TNI Angkatan Udara]]
|unit             = Korps Penerbang 
| spouse            = Sri Redjeki
| children          = 4
| residence         = 
| alma_mater        = 
| occupation        = 
| religion          = [[Islam]]
}}"
Turnamen HUT Kota Jakarta 1972,infobox international football competition,"{{Infobox International Football Competition
| tourney_name = Turnamen HUT Kota Jakarta
| year         = 1972
| othertitles  =
| image        = 
| size         = 
| caption      = 
| country      = Indonesia
| dates        = 5–20 Juni
| num_teams    = 10
| venues       = 
| cities       = 
| champion     = Indonesia
| count        = 1
| second       = Korea Selatan
| third_other  = {{fb|CAM|1970|name=Republik Khmer}}
| fourth       = Burma
| fourth-flagvar = 1948
| matches      = 24
| goals        = 87
| attendance   = 
| top_scorer   = 
| player       = 
| prevseason   = [[Turnamen HUT Kota Jakarta 1971|1971]]
| nextseason   = [[Turnamen HUT Kota Jakarta 1973|1973]]
}}"
Alamsyah Ratu Perwiranegara,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = 
|name             = {{PAGENAME}}
|image            = Alamsyah Ratu Perwiranegara - Fourth Development Cabinet.jpg
|imagesize        = 
|caption          = 
|office           = Menteri Koordinator Bidang Kesejahteraan Rakyat Republik Indonesia
|order            = ke-6
|term_start       = 19 Maret 1983
|term_end         = 23 Maret 1988
|president        = [[Soeharto]]
|predecessor      = [[Surono Reksodimejo]]
|successor        = [[Soepardjo Rustam]]
|office2          = Menteri Agama Indonesia
|order2           = ke-13
|term_start2      = 29 Maret 1978
|term_end2        = 19 Maret 1983
|president2       = Soeharto
|predecessor2     = [[Mukti Ali]]
|successor2       = [[Munawir Sjadzali]]
|birth_date       = {{birth date|1925|12|25}}
|birth_place      = [[Kotabumi, Lampung Utara|Kotabumi]], [[Lampung]], [[Hindia Belanda]]
|death_date       = {{death date and age|1998|1|8|1925|12|25}}
|death_place      = [[Daerah Khusus Ibukota Jakarta|Jakarta]], Indonesia
|allegiance       = {{flag|Indonesia}}
|serviceyears     = 1945–1974
|rank             = [[Berkas:Pdu letjendtni komando.png|25px]] [[Letnan Jenderal]] [[TNI]]
|branch           = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
|battles          = {{unbulleted list | [[Revolusi Nasional Indonesia]] |  [[Pemerintahan Revolusioner Republik Indonesia|Pemberontakan PRRI]] |  [[Gerakan 30 September]] }}
|battles_label    =
|awards           = 
|party            = 
|spouse           = {{marriage|Siti Maemunah|1952}}
|children         = 5
|residence        = 
|alma_mater       = [[Gyu Gun]] (1943)<br>U.S Army General and Command Staff College (1962) 
|occupation       = 
|unit=Infanteri
|servicenumber = 14343}}"
Kasman Singodimedjo,infobox officeholder,"{{Infobox Officeholder
| honorific-prefix    = 
| name                = Kasman Singodimedjo
| honorific-suffix    = 
| image               = Kasman Singodimedjo.jpg
| imagesize           = 
| caption             = 
| office              = Ketua Komite Nasional Indonesia Pusat
| order               = ke-1
| term_start          = 29 Agustus 1945
| term_end            = 17 Oktober 1945
| president           = 
| predecessor         = ''Tidak ada; jabatan baru''
| successor           = [[Soetan Sjahrir]]
| office2             = Jaksa Agung Republik Indonesia
| order2              = ke-2
| term_start2         = 8 November 1945
| term_end2           = 6 Mei 1946
| president2          = [[Soekarno]]
| predecessor2        = [[Gatot Taroenamihardja]]
| successor2          = [[Tirtawinata]]
| office3             = Menteri Muda Kehakiman Indonesia
| order3              = ke-2
| term_start3         = 11 November 1947
| term_end3           = 29 Januari 1948
| president3          = 
| primeminister3      = [[Amir Sjarifuddin]]
| predecessor3        = Hadi
| successor3          = [[Denny Indrayana]]
| birth_date          = {{birth date|1904|2|25}}
| birth_place         = {{flagicon|Belanda}} [[Purworejo|Purworejo, Jawa Tengah]], [[Hindia Belanda]]
| death_date          = {{death date and age|1982|10|25|1904|2|25}}
| death_place         = {{flagicon|Indonesia}} [[Jakarta]], [[Indonesia]]
| nationality         = [[Indonesia]]
| resting_place       = [[Taman Pemakaman Umum Tanah Kusir]], [[Jakarta]].
| party               = 
| spouse              = 
| relations           = 
| children            = 
| alma_mater          = [[STOVIA]], [[MULO]], [[GMS]], [[AMS]], [[HIS]], [[ELS]]
| occupation          = 
| profesion           = 
| signature           = 
| website             = 
| footnotes           = 
| allegiance          = 
| branch              = 
| serviceyears        = 
| rank                = 
| unit                = 
}}"
