article_title,honorific-prefix,name,image,caption,office,order,term_start,term_end,president,predecessor,successor,office2,order2,term_start2,term_end2,president2,predecessor2,successor2,office3,order3,term_start3,term_end3,president3,predecessor3,successor3,term_start4,term_end4,president4,predecessor4,successor4,office5,order5,term_start5,term_end5,president5,predecessor5,successor5,term_start6,term_end6,president6,predecessor6,successor6,office7,order7,term_start7,term_end7,president7,1blankname7,1namedata7,predecessor7,successor7,birth_date,birth_place,death_date,death_place,nationality,party,spouse,children,profession,religion,signature,nickname,allegiance,branch,serviceyears,rank,commands,unit,battles,awards,relations,laterwork,order6,1blankname,military_blank4,termend1,termend3,order9,taoiseach,blank3,vicepresident1,net_worth,1namedata3,constituency3,governor-general,premier2,memorials,twitter,ambassador_from,constituency,other_name,successor10,1blankname2,height,1blankname6,command,chancellor,primeminister4,image_upright,data4,alt,citizenship,placeofburial_coordinates,residence,succeeding3,office4,father,term_start10,restingplacecoordinates,2,salary,office6,blank5,successor1,term_end8,succeeding,term_label5,module5,enteredservice,military_data5,birth_name,vicepresident2,term_label,4blankname7,viceprimeminister,governor_general,other_names,governor1,co-leader2,3namedata7,blank2,governor,image_size,module4,portrayedby,primeminister2,lieutenant2,website,vicepresident5,successor8,appointer,country,1blankname3,cabinet,successor9,termstart2,2blankname7,relatives,data3,native_name,module3,primeminister,term_start1,termend2,office10,1namedata1,alongside6,lieutenant8,data5,term_end10,footnotes,constituency2,Cicit,alongside5,honorific_prefix,military_blank1,1namedata6,order4,otherparty,known_for,term_start8,office1,honorific-suffix,death_cause,committees,1blankname1,term_end9,facebook,smallimage_alt,term_start9,resting_place_coordinates,alongside2,primeminister5,pronunciation,predecessor9,data1,order1,4namedata7,servicenumber,lieutenant,military_data3,resting_place,native_name_lang,module,predecessor8,military_blank3,occupation,constituency7,succeeding2,alongside3,appointed,succeeding1,placeofburial,constituency6,ethnicity,module2,military_blank5,facebookpage,smallimage,governor2,president1,vicepresident3,family,primeminister1,military_data1,mother,currentlyresides,imagesize,governor5,blank1,vicepresident,data2,military_data4,predecessor10,mawards,signature_alt,primeminister3,placeofburial_label,honorific_suffix,birthname,termstart3,1blankname5,office9,status,prior_term,1,vicepresident4,partner,military_data2,battles_label,restingplace,signature_size,3blankname7,1namedata2,termstart1,majority3,blank4,education,relation,alma_mater,parents,military_blank2,order10,2namedata7,vicepresident6,majority,predecessor1,portfolio,lieutenant3,office8,profesion,networth,1namedata5,monarch,othername,order8,deputy,1namedata,term_end1,article_title
Wiranto,,Wiranto,File:Wiranto2.jpg,,Ketua Dewan Pertimbangan Presiden Republik Indonesia,ke-5,13 Desember 2019,,Joko Widodo,Sri Adiningsih,,,,29 Oktober 1999,15 Februari 2000(sebagai Menteri Negara Koordinator Bidang Politik dan Keamanan),Abdurahman Wahid,Feisal Tanjung,"Soerjadi Soedirdja (sebagai Menteri Koordinator Bidang Politik, Sosial, dan Keamanan)",Menteri Pertahanan dan Keamanan Indonesia,ke-19,14 Maret 1998,20 Oktober 1999,SoehartoB. J. Habibie,Edi Sudrajat,Juwono Sudarsono,20 Desember 1997,26 Oktober 1999,SoehartoB. J. HabibieAbdurrahman Wahid,Feisal Tanjung,Widodo A. S.,Kepala Staf TNI Angkatan Darat,ke-19,13 Juni 1997,16 Februari 1998,,R. Hartono,Subagyo Hadi Siswoyo,31 Oktober 2016,6 November 2020,,Gita Wirjawan,Agung Firman Sampurna,Ketua Umum Partai Hati Nurani Rakyat,,21 Desember 2006,21 Desember 2016,,,,"Tidak ada, jabatan baru",Oesman Sapta Odang,,"Yogyakarta, Indonesia",,,Indonesia,,Rugaiya Usman,,,,,,,25px TNI Angkatan Darat,1968–1998,25px|  Jenderal TNI,,Infanteri,Operasi Seroja,,,,ke-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jl. Palem Kartika No. 21, Bambu Apus, Cipayung, Jakarta",,Panglima Angkatan Bersenjata Republik Indonesia,RS Wirowijoto,,,,,Ketua Umum PBSIKetua Umum Persatuan Bulu Tangkis Seluruh Indonesia,,Mahfud MD,,,,,,,,,,,,,,,,,,,,,,,,www.wiranto.com www.facebook.com/wiranto.official twitter.com/wiranto1947,,,,,,,,,,,,,,,27 Juli 2016,,,,,,,,,,,,,,,ke-12,,,,"Daftar Menteri Koordinator Bidang Politik, Hukum, dan Keamanan IndonesiaMenteri Koordinator Bidang Politik, Hukum, dan Keamanan Indonesia",,,,,,,,,,,,,,,ke-6,,22166,,,,,,,,,,,,,,,,,,,,,,Joko Widodo,,,,,Suwarsijah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luhut Binsar Pandjaitan,,,,,,,,,,,,20 Oktober 2019,Wiranto
Emanuel Melkiades Laka Lena,,Emanuel Melkiades Laka Lena,File:Anggota DPR Emanuel Melkiades Laka Lena.jpg,,Anggota Dewan Perwakilan Rakyat Republik Indonesia,,1 Oktober 2019,,Joko Widodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kupang, Nusa Tenggara Timur",,,,,Mindriyati Astiningsih,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nusa Tenggara Timur II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas Sanata Dharma,,,,,,,,,,,,,,,,,,,,Emanuel Melkiades Laka Lena
Bob Hasan,,Bob Hasan,Bob Hasan.jpg,,Menteri Perindustrian dan Perdagangan Indonesia,ke-16,16 Maret 1998,21 Mei 1998,Soeharto,Tungki Ariwibowo,Rahardi Ramelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Semarang, Jawa Tengah, Hindia Belanda",,Jakarta,Indonesia,,Pertiwi Hasan,2,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Kian Seng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kanker paru-paru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bob Hasan
Radius Prawiro,,,"Radius Prawiro, Gubernur Bank Indonesia.jpg","Potret resmi, 1966","Menteri Koordinator Bidang Ekonomi, Keuangan, Industri dan Pengawasan Pembangunan Indonesia",ke-4,23 Maret 1988,17 Maret 1993,Soeharto,Ali Wardhana,Saleh Afiff,Menteri Perdagangan dan Koperasi Indonesia,ke-20,28 Maret 1973,19 Maret 1983,Soeharto,Sumitro Djojohadikusumo,Rachmat SalehBustanil Arifin,Gubernur Bank Indonesia,ke-6,27 Maret 1966,5 April 1973,SoekarnoSoeharto,T. Jusuf Muda Dalam,Rachmat Saleh,17 Maret 1965,27 Maret 1966,Soekarno,Tidak ada; jabatan baru,Tidak ada; jabatan dihapuskan,,,,,,,,,,,,,,,,,,,,,,,"Yogyakarta, Hindia Belanda",,"München, Jerman",Indonesia,,Leoni Supit,,,Kristen Protestan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputi Menteri Pemeriksa Keuangan Negara,,,,,,,,J.B. Sumarlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 Maret 1983,,,,,,,,,,,,,,,,,,,Menteri Keuangan Indonesia,,,,,,,,,,,,,,,ke-16,,,,,,,,,,"Ekonom, Politikus",,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas Indonesia,,,,,,,Ali Wardhana,,,,,,,,,,,,21 Maret 1988,Radius Prawiro
Haryono Suyono,"Prof., Dr.",Haryono Suyono,Sixth Development Cabinet Poster (Haryono Suyono).jpg,,Menteri Negara Koordinator Bidang Kesejahteraan Rakyat dan Pengentasan Kemiskinan Indonesia,ke-9,16 Maret 1998,20 Oktober 1999,SoehartoB. J. Habibie,Azwar Anas,Hamzah Haz,,,,,,,,Ketua Umum Persatuan Wredatama Republik Indonesia,,30 Januari 2011,21 Oktober 2021,,Ruchadi,Marzuki Usman,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pacitan, Jawa Timur, Hindia Belanda",,,,,Astuti Hasinah,Ria IndrastutiDewi PujiastutiFajar Wiryonodan Rina Mardiana (1968),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"M.A, Ph.D.",,,,,,,,,,,,,Islam,,,,,,,,,,,Pengusaha  Menteri,,,,,,,,,,,,,,,,,,,,,,,Agama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haryono Suyono
Suhardiman,,Suhardiman,Suhardiman.jpg,"Suhardiman, Pendiri Sentral Organisasi Karyawan Seluruh Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surakarta, Jawa Tengah",,Jakarta,,,Sapartinah,,,,,,Indonesia,25px TNI Angkatan Darat,,25px Mayor Jenderal TNI,,,Revolusi Nasional Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suhardiman
Sudomo,Laksamana TNI (Purn.),,"Sudomo, 25 Tahun Pembangunan Pemerintah Orde Baru.jpg",Sudomo sebagai Ketua Dewan Pertimbangan Agung,Ketua Dewan Pertimbangan Agung Republik Indonesia,ke-9,1993,1998,Soeharto,Maraden Panggabean,Arnold Achmad Baramuli,Menteri Tenaga Kerja Indonesia,ke-16,19 Maret 1983,23 Maret 1988,Soeharto,Harun Zain,Cosmas Batubara,Daftar Wakil Panglima Tentara Nasional Indonesia  Wakil Panglima Angkatan Bersenjata Republik Indonesia,ke-5,17 April 1978,29 Maret 1983,Soeharto,Surono Reksodimedjo,Widodo Adi Sutjipto,5 April 1978,29 Maret 1983,Soeharto,Jenderal TNI (Purn.) Soeharto,Jenderal TNI Leonardus Benyamin Moerdani,Kepala Staf Komando Keamanan dan Ketertiban,,1973,1978,Soeharto,,,16 Desember 1969,26 Juni 1973,Soeharto,Moeljadi,R. Soebono,,,,,,,,,,,"Malang, Jawa Timur, Hindia Belanda",,"Jakarta, Indonesia",,,,4,,Islam,,,,25px TNI Angkatan Laut,1945—1983,25px|  Laksamana TNI,,Korps Pelaut,,,,,ke-6,,,,,,,,Try Sutrisno,,,,,,,,,,,,,,,,,,,,,,,"Jalan Sekolah Kencana IV, Pondok Indah, Jakarta Selatan",,Komando Operasi Pemulihan Keamanan dan Ketertiban Panglima Komando Keamanan dan Ketertiban,,,,,,Kepala Staf TNI Angkatan Laut,,Soesilo Soedarman,,,,,,,,Umar Wirahadikusumah,,,,,,,,,,,,,,,,,Hamengkubuwono IX,,,,,,,,,,,,,,23 Maret 1988,,,,,,,,,,,,,,,ke-5,,,,Menteri Koordinator Bidang Politik dan Keamanan Republik Indonesia,,Stroke,,,,,,,,,,,,,ke-3,,41/P,,,"Taman Makam Pahlawan Nasional Utama Kalibata, Jakarta, Indonesia",,,,,TNI,,,,,,,,,,,,,,Soeharto,Adam Malik,,,,,,,,,Try Sutrisno,,,,,,,,,,,Panglima Kopkamtib,,,,,Adam Malik,,,,,,,,,,,,,,,,,,Hamengkubuwono IX,,Surono Reksodimedjo,,,,,,Soeharto,,,,,,17 Maret 1993,Sudomo
Arifin Siregar,,Arifin Mohamed Siregarhttp://www.bloomberg.com/research/stocks/people/person.asp?personId=34052827&ticker=SIME:MK,File:Duta Besar Indonesia untuk Amerika Serikat Arifin Siregar.jpg,,Duta Besar Indonesia untuk Amerika Serikat,ke-13,1 Oktober 1993,21 November 1997,Soeharto,Abdul Rahman Ramly,Dorodjatun Kuntjoro-Jakti,Gubernur Bank Indonesia,ke-8,1983,1988,Soeharto,Rachmat Saleh,Adrianus Mooy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medan, Sumatra Timur, Hindia Belanda",,"Jakarta, Indonesia",Indonesia,,Adiati,3,,,Sign Arifin M. Siregar.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satrio Budihardjo Joedono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 Maret 1988,,,,,,,,,,,,,,,,,,,Menteri Perdagangan Indonesia,,,,,,,,,,,,,,,ke-22,,,,,,,,,,,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nederlandsche Economische Hogeschool,,,,,,,Rachmat Saleh,,,,,,,,,,,,17 Maret 1993,Arifin Siregar
G.A. Siwabessy,,,"G. A. Siwabessy, Menkes - Anggota Kabinet Pembangunan II.jpg","Portret Resmi, 1973",Kementerian Kesehatan IndonesiaMenteri Kesehatan,ke-9,25 Juli 1966,29 Maret 1978,SoekarnoSoeharto,Satrio,Suwardjono Surjaningrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ullath, Saparua Timur, Maluku Tengah, Hindia Belanda",,"Jakarta, Indonesia",,Independen,,,,Kristen Protestan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portret Resmi pada tahun 1973,,,,,,Enoch Siwabessy,,,,,,,,,,,,,,,,,,,,,,,,,,200px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ilmuwan, dokter, Politikus",,,,,,,,,,,,,,,,,,,Naatje Manuhutu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G.A. Siwabessy
Bambang Trihatmodjo,,Bambang Trihatmodjo Soeharto,,,,,,,,,,Direktur Utama Bimantara Citra,,1981,1998,,jabatan baru,M. Tachril Sapi'ie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surakarta, Jawa Tengah",,,,Golongan Karya (sampai 1998)Partai Berkarya (sejak 2018),,Pernikahan dengan Halimah Agustina: Gendis Siti Hatmanti SoehartoPanji Adhikumoro SoehartoBambang Aditya Trihatmanto Soeharto Pernikahan dengan Mayangsari: Khirani Siti Hartina Trihatmodjo Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Oktober 1992,,,,,,,,,,,,,,,,,,,Anggota MPR RI Fraksi Golkar,,,,,,,,,,,,,,,,,,,,,,,,,Pengusaha,,,,,,,,,,,,,,,,,,,Siti Hartinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 Mei 1998,Bambang Trihatmodjo
Feisal Tanjung,,,Feisal Tanjung as Commander of the Armed Forces.jpg,,Menteri Koordinator Bidang Politik dan Keamanan Republik Indonesia,ke-5,16 Maret 1998,20 Oktober 1999,SoehartoBacharuddin Jusuf Habibie,Soesilo Soedarman,Wiranto,,,,,,,,Panglima Angkatan Bersenjata Republik Indonesia,ke-11,21 Mei 1993,12 Februari 1998,Soeharto,Edi Sudradjat,Wiranto,26 Juli 1992,15 Mei 1993,,Soedibyo Rahardjo,Herman Bernhard Leopold Mantiri,,,,,,,,,,,,,,,,,,,,,,,"Tarutung, Silindung, Keresidenan Tapanuli, Hindia Belanda",,"Jakarta, Indonesia",Indonesia,Non partisipan,dr. Masrowida Lubis,,,Islam,,,,25px TNI Angkatan Darat,1961–1998,25px Jenderal TNI,,Infanteri (Kopassus),,ICSA Awards 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kepala Staf Umum Tentara Nasional IndonesiaKepala Staf Umum Angkatan Bersenjata Republik Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tentara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akademi Militer Nasional (1961),,,,,,,,,,,,,,,,,,,,Feisal Tanjung
Sumantri Brodjonegoro,,,"Koningin op de tweede dag van het staatsbezoek, Bestanddeelnr 254-9019 (Soemantri Brodjonegoro).jpg",,Menteri Pendidikan dan Kebudayaan Indonesia,ke-15,28 Maret 1973,18 Desember 1973,Soeharto,Mashuri Saleh,Syarief Thayeb,Menteri Pertambangan Indonesia,ke-5,17 Oktober 1967,28 Maret 1973,Soeharto,Slamet Bratanata,Mohammad Sadli,Rektor Universitas Indonesia,ke-6,1964,1973,,Syarief Thayeb,Slamet Iman Santoso(Sebagai Pejabat Rektor),2 Maret 1959,1 November 1959,,Periode FT & FIPIA UI Bandung,,,,,,,,,,,,,,,,,,,,,,,,"Semarang, Jawa Tengah, Hindia Belanda",,"Jakarta, Indonesia",Indonesia,,,"3, termasuk Bambang Permadi Soemantri Brodjonegoro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Presidium Institut Teknologi Bandung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akademisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sekolah Tinggi Teknik BandungTechnische Universiteit Delft,,,,,,,,,,,,,,,,,,,,Sumantri Brodjonegoro
Oemar Seno Adji,,Oemar Seno Adji,Oemar_Seno_Adji.png,Potret Oemar Seno Adji sebagai Ketua Mahkamah Agung,Ketua Mahkamah Agung Republik Indonesia,ke-5,22 Januari 1974,9 Februari 1981,,Soebekti,Mudjono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surakarta, Hindia Belanda",,,,,,Indriyanto Seno Adji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali Said,,,,,,,,,,,,,,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,25 Juli 1966,,,,,,,,,,,,,,,,,,,Menteri Kehakiman Indonesia,,,,,,,,,,,,,,,ke-15,,,,,,,,,,,,,,,,,,,,,,,,Soekarno Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas Gadjah Mada,,,,,,,Wirjono Prodjodikoro,,,,,,,,,,,,28 Maret 1973,Oemar Seno Adji
Achmad Tahir,Jenderal TNI (HOR) (Purn.),,Achmad Tahir - Fourth Development Cabinet.jpg,Potret Achmad Tahir,"Menteri Pariwisata, Pos, dan Telekomunikasi Indonesia",ke-2,19 Maret 1983,21 Maret 1988,Soeharto,S.H. SimatupangHamengkubuwono IX,Soesilo Soedarman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kisaran, Sumatera Utara, Hindia Belanda",,"Rumah Sakit Medistra, Jakarta, Indonesia",,,Ny. Rooslila Simanjuntak,,,Islam,,,,25px TNI Angkatan Darat,1945—1973,25px Jenderal TNI,,Polisi Militer (CPM),Operasi Trikora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kabinet Pembangunan IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15431,,,"Taman Makam Pahlawan Nasional Utama Kalibata, Jakarta, Indonesia",,,,,Militer,,,,,,,,,,,,,,,,,,,,,,,,Umar Wirahadikusumah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achmad Tahir
Muhammad Dahlan,,,Muhammad Dahlan.jpg,,Menteri Agama Indonesia,Ke-11,17 Oktober 1967,11 September 1971,Soeharto,KH. Saifuddin Zuhri,Prof.Dr.H.A. Mukti Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pasuruan, Keresidenan Pasuruan, Hindia Belanda",,Indonesia,Indonesia,NU,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad Dahlan
Adhyatma,,Adhyatma,Adhyatma - Fifth Development Cabinet.jpg,,Menteri Kesehatan Indonesia,ke-11,23 Maret 1988,11 Maret 1993,Soeharto,Suwardjono Surjaningrat,Sujudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 Mei 1932,"Semarang, Jawa Tengah, Hindia Belanda",2 Desember 1999 (umur 67),"Jakarta, Indonesia",Indonesia,,Siti Fatimah,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dokter,,,,,,,,,,,,,,,,,,,,,200px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adhyatma
Joop Ave,,Joop Ave,Sixth Development Cabinet Poster (Joop Ave).jpg,,"Menteri Pariwisata, Pos, dan Telekomunikasi Indonesia",ke-4,17 Maret 1993,16 Maret 1998,Soeharto,Soesilo Soedarman,Abdul Latief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yogyakarta, Hindia Belanda",,Singapura,Indonesia,Non partisipan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Politikus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joop Ave
Nugroho Notosusanto,Brigjen. TNI (Purn.) Prof. Dr. Raden Panji,,Nugroho Notosusanto - Fourth Development Cabinet.jpg,,,,,,,,,,,,,,,,Rektor Universitas Indonesia,Ke-8,1982,1985,,Mahar Mardjono,W. A. F. J. Tumbelaka(Sebagai Pejabat Rektor),,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rembang, Jawa Tengah, Hindia Belanda",,"Jakarta, Indonesia",,,Irma Sawitri Ramelan,3,,,Nugroho Notosusanto's Signature.svg,,,25px TNI Angkatan Darat,,25px Brigadir Jenderal TNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuad Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 Maret 1983,,,,,,,,,,,,,,,,,,,Menteri Pendidikan dan Kebudayaan Indonesia,,,,,,,,,,,,,,,Ke-18,,,,,,,,,,Tentara  Akademisi,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas Indonesia,,,,,,,Daoed Joesoef,,,,,,,,,,,,3 Juni 1985,Nugroho Notosusanto
Sofjan Wanandi,,Sofjan Wanandi,"Sofjan Wanandi, Ketum APINDO 2003-2014.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sawahlunto, Sumatera Barat, Hindia Belanda",,,,,Riantini Wanandi (The Gim Kiauw),Emmanuel Lestarto Wanandi  A Lukito Wanandi  Paulus Witarsa Wanandi,,,,,,,,,,,,,Jusuf Wanandi (Kakak),,,,,,,,,,,US$635 juta (2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hariyadi Budi Santoso Sukamdani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,,,,,,,,,,,,,,,,,,Daftar Ketua Umum Asosiasi Pengusaha Indonesia  Ketua Umum Asosiasi Pengusaha Indonesia,,,,,,,,,,,,,,,ke-5,,,,,,,,,,Pemilik Gemala Groupinvesting.businessweek.com. Sofjan Wanandi,,,,,,,,,,,,,,Megawati SoekarnoputriSusilo Bambang YudhoyonoJoko Widodo,,,,,,,200px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas Indonesia  Kolese Kanisius,Liem Gim To & Tjoa Gim Jong Nio,,,,,,Soeparwanto,,,,,,,,,,,,24 November 2014,Sofjan Wanandi
Yogi Supardi,Letnan Jenderal TNI (Purn.),Yogi Supardi,Ignatius Yogi Supardi.jpg,,Komandan Seskoad l ke-11,,1974,1976,,Mayjen TNI Sutanto Wiryoprasonto,Mayjen TNI E.W.P. Tambunan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klaten, Jawa Tengah",,"(RSPAD) Gatot Soebroto, Jakarta Pusat, Indonesia",Indonesia,,,,,,,,,25px TNI Angkatan Darat,1948-1983,25px Letnan Jenderal TNI,,Artileri Medan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Militaire Academie (MA) Jogya Angkatan I (1948),,,,,,,,,,,,,,,,,,,,Yogi Supardi
Mukti Ali,,,Mukti Ali.jpg,,Menteri Agama Indonesia,Ke-12,11 September 1971,29 Maret 1978,Soeharto,K.H. Muhammad Dahlan,Alamsyah Ratu Perwiranegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cepu, Blora, Keresidenan Rembang, Hindia Belanda",,"Yogyakarta, Indonesia",Indonesia,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mukti Ali
